gabor,deviationAway,conditions,corrAns,match,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,date,frameRate,expName,session,participant,
,,,,,,,,,space,3.801083182,2017_Jun_08_1921,636.972831566,visual search,001,,
46.0,1.0,45,right,0.0,0,0,0,685,,,2017_Jun_08_1921,636.972831566,visual search,001,,
132.0,-3.0,135,left,0.0,0,1,1,93,,,2017_Jun_08_1921,636.972831566,visual search,001,,
40.0,-5.0,45,left,0.0,0,2,2,22,,,2017_Jun_08_1921,636.972831566,visual search,001,,
130.0,-5.0,135,left,0.0,0,3,3,416,,,2017_Jun_08_1921,636.972831566,visual search,001,,
4.0,4.0,0,right,0.0,0,4,4,309,,,2017_Jun_08_1921,636.972831566,visual search,001,,
1.0,1.0,0,right,0.0,0,5,5,334,,,2017_Jun_08_1921,636.972831566,visual search,001,,
