gabor,deviationAway,conditions,corrAns,match,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,date,frameRate,expName,session,participant,
,,,,,,,,,space,0.146962176168,2017_Jun_08_1926,646.330575994,visual search,001,,
93.0,3.0,90,right,0.0,0,0,0,219,,,2017_Jun_08_1926,646.330575994,visual search,001,,
3.0,3.0,0,right,0.0,0,1,1,626,,,2017_Jun_08_1926,646.330575994,visual search,001,,
-1.0,-1.0,0,left,0.0,0,2,2,287,,,2017_Jun_08_1926,646.330575994,visual search,001,,
42.0,-3.0,45,left,0.0,0,3,3,74,,,2017_Jun_08_1926,646.330575994,visual search,001,,
