BaSp_Item;Spanish;Basque;English;Living;Cognate_Rate;Freq;Conc;Sp_Freq;Sp_Conc;Sp_ Len;Sp_N;Bq_Freq;Bq_Conc;Bq_Len;Bq_N
1497;portero;atezain;doorman;Living;0.00;Hi;Hi;1.4382;4.9;7;3;0.7931;4.9;7;0
1621;pintor;margolari;painter;Living;0.22;Hi;Hi;1.3185;5.0;6;2;0.9777;5.3;9;0
1790;asesino;hiltzaile;murderer;Living;0.11;Hi;Hi;1.3402;5.1;7;1;1.0253;5.3;9;1
1482;obispo;apezpiku;bishop;Living;0.13;Hi;Hi;1.3809;5.0;6;0;1.1836;4.9;8;0
1545;gigante;erraldoi;giant;Living;0.13;Hi;Hi;1.2368;4.9;7;1;1.5013;4.9;8;0
2083;periodista;kazetari;journalist;Living;0.00;Hi;Hi;1.6202;5.0;10;0;1.5161;4.8;8;0
1588;lector;irakurle;reader;Living;0.13;Hi;Hi;1.6761;5.0;6;3;1.6133;5.2;8;0
1584;secretario;idazkari;secretary;Living;0.30;Hi;Hi;1.8231;4.7;10;1;1.6549;4.9;8;1
1047;abuelo;aitona;grandfather;Living;0.17;Hi;Hi;1.9254;4.9;6;1;1.6600;5.1;6;0
1779;conductor;gidari;driver;Living;0.11;Hi;Hi;1.3577;4.5;9;0;1.6779;4.4;6;2
1262;pescado;arrain;fish;Living;0.14;Hi;Hi;1.2995;5.9;7;1;1.8476;6.0;6;4
1676;árbol;zuhaitz;tree;Living;0.00;Hi;Hi;1.5563;6.1;5;0;1.9416;6.5;7;1
1596;criatura;izaki;creature;Living;0.13;Hi;Hi;1.3677;4.5;8;1;2.1026;4.8;5;3
1402;muchacho;mutil;kid;Living;0.25;Hi;Hi;1.8160;5.0;8;1;2.1540;4.8;5;1
1360;profesor;irakasle;teacher;Living;0.25;Hi;Hi;1.8978;4.5;8;1;2.2197;4.5;8;1
1087;mujer;emakume;woman;Living;0.29;Hi;Hi;2.6941;4.6;5;0;2.3845;4.8;7;0
1838;corredor;lasterkari;runner;Living;0.20;Hi;Lo;1.4120;3.6;8;0;0.4654;4.2;10;1
1840;rival;lehiakide;rival;Living;0.11;Hi;Lo;1.3610;3.4;5;0;0.9652;3.1;9;0
1572;candidato;hautagai;candidate;Living;0.22;Hi;Lo;1.3904;3.9;9;1;1.0781;3.9;8;0
1295;cliente;bezero;customer;Living;0.14;Hi;Lo;1.3543;4.0;7;1;1.2212;4.3;6;0
1410;poeta;olerkari;poet;Living;0.25;Hi;Lo;1.8028;4.3;5;3;1.3659;4.4;8;1
1709;edición;argitalpen;adviser;Living;0.20;Hi;Lo;1.4655;2.8;7;1;1.4976;3.0;10;0
1057;hermana;arreba;sister;Living;0.29;Hi;Lo;1.8545;4.2;7;2;1.5013;4.4;6;3
1020;jugador;jokalari;player;Living;0.38;Hi;Lo;1.7029;4.2;7;0;1.5408;3.9;8;1
2090;presidente;lehendakari;president;Living;0.09;Hi;Lo;2.4018;4.0;10;1;1.6219;3.9;11;0
1083;autor;egile;author;Living;0.00;Hi;Lo;1.9236;4.2;5;2;1.6549;4.0;5;1
1242;experto;aditu;expert;Living;0.14;Hi;Lo;1.2543;3.9;7;1;1.6703;3.9;5;7
1100;enemigo;etsai;enemy;Living;0.29;Hi;Lo;1.6593;3.7;7;1;1.6829;3.3;5;0
1634;delegado;ordezkari;delegate;Living;0.22;Hi;Lo;1.2138;4.0;8;1;1.8105;3.9;9;0
1168;testigo;lekuko;witness;Living;0.29;Hi;Lo;1.3473;4.1;7;0;1.9031;4.1;6;1
1799;escritor;idazle;writer;Living;0.00;Hi;Lo;1.9180;4.1;8;0;2.2183;4.2;6;1
924;padre;aita;father;Living;0.20;Hi;Lo;2.5850;4.2;5;2;2.7231;4.2;4;14
1930;fumador;erretzaile;smoker;Living;0.10;Lo;Hi;0.9106;4.7;7;0;0.6042;4.9;10;0
