BaSp_Item;Spanish;Basque;English;Living;Cognate_Rate;Freq;Conc;Sp_Freq;Sp_Conc;Sp_ Len;Sp_N;Bq_Freq;Bq_Conc;Bq_Len;Bq_N
1882;jinete;zaldizko;rider;Living;0.00;Lo;Hi;0.9009;4.6;6;1;0.7084;4.9;8;0
1754;enfermera;erizain;nurse;Living;0.11;Lo;Hi;1.1635;4.5;9;1;0.7084;4.3;7;1
1234;mensajero;mezulari;messenger;Living;0.33;Lo;Hi;0.9385;4.9;9;1;0.7316;4.9;8;0
1285;caracol;barraskilo;snail;Living;0.40;Lo;Hi;0.8035;5.5;7;0;0.7528;5.2;10;0
933;yegua;behor;mare;Living;0.20;Lo;Hi;0.9106;5.3;5;1;0.8797;5.3;5;4
1870;cocinero;sukaldari;cook;Living;0.11;Lo;Hi;0.8156;4.8;8;1;0.8954;4.6;9;0
1261;cordero;arkume;lamb;Living;0.14;Lo;Hi;1.0048;5.7;7;1;0.9248;5.7;6;1
1023;pandilla;koadrila;gang;Living;0.38;Lo;Hi;0.9201;4.5;8;1;0.9777;4.4;8;0
982;gallo;oilar;rooster;Living;0.20;Lo;Hi;0.9562;5.9;5;6;1.0473;5.4;5;2
1547;peregrino;erromes;pilgrim;Living;0.22;Lo;Hi;0.9969;4.5;9;1;1.0473;4.2;7;0
995;cerdo;txerri;pig;Living;0.33;Lo;Hi;1.1741;5.5;5;5;1.1427;5.8;6;2
1874;mariposa;tximeleta;butterfly;Living;0.11;Lo;Hi;0.8603;5.5;8;0;1.1596;5.9;9;0
1666;guardián;zaindari;guard;Living;0.13;Lo;Hi;0.8710;4.5;8;0;1.2350;4.5;8;0
1339;roble;haritz;oak;Living;0.00;Lo;Hi;0.7910;5.3;5;2;1.2686;5.2;6;2
1649;serpiente;suge;snake;Living;0.22;Lo;Hi;1.0881;5.7;9;0;1.3395;5.9;4;3
1802;aprendiz;ikastun;apprentice;Living;0.00;Lo;Lo;0.7910;3.9;8;0;0.1903;4.2;7;2
1398;idiota;memelo;idiot;Living;0.00;Lo;Lo;1.1361;3.3;6;1;0.3222;3.6;6;0
1135;emisor;igorle;issuer;Living;0.17;Lo;Lo;0.9562;3.7;6;0;0.4654;3.9;6;1
2035;inventor;asmatzaile;inventor;Living;0.00;Lo;Lo;0.8156;4.3;8;1;0.5729;4.3;10;1
1769;pesimista;ezkor;pessimist;Living;0.11;Lo;Lo;0.8494;2.8;9;0;0.6325;2.8;5;5
1702;confesor;aitorle;confessor;Living;0.00;Lo;Lo;0.9643;3.4;8;1;0.6325;3.5;7;0
1541;portador;eramaile;bearer;Living;0.13;Lo;Lo;0.8814;4.0;8;0;0.7528;4.1;8;0
1585;adivina;igarle;fortune-teller;Living;0.00;Lo;Lo;0.7910;3.4;7;1;0.7738;3.4;6;1
1048;cabrón;aker;bastard;Living;0.17;Lo;Lo;0.9201;3.4;6;0;0.9248;3.5;4;8
2129;usuario;erabiltzaile;user;Living;0.08;Lo;Lo;1.0484;3.8;7;1;1.0141;3.8;12;0
2004;vendedor;saltzaile;salesman;Living;0.00;Lo;Lo;0.9969;4.1;8;2;1.1836;4.0;9;2
1952;receptor;hartzaile;recipient;Living;0.00;Lo;Lo;1.1007;3.5;8;0;1.3339;3.3;9;2
895;ladrón;lapur;thief;Living;0.33;Lo;Lo;1.1361;4.3;6;1;1.3395;4.3;5;1
1774;vencedor;garaile;victor;Living;0.00;Lo;Lo;1.1303;4.1;8;1;1.3709;4.1;7;0
1335;invitado;gonbidatu;guest;Living;0.33;Lo;Lo;1.1635;3.8;8;1;1.4190;3.7;9;1
1192;bruja;sorgin;witch;Living;0.17;Lo;Lo;1.0195;4.0;5;4;1.5642;4.1;6;0
1368;sombra;itzal;shade;Nonliving;0.13;Hi;Hi;1.8695;4.3;6;1;1.5510;4.6;5;3
1639;página;orrialde;page;Nonliving;0.13;Hi;Hi;1.5157;4.5;6;3;1.7535;4.4;8;0
1055;regla;arau;rule;Nonliving;0.14;Hi;Hi;1.4354;4.6;5;1;2.1720;4.7;4;4
1751;juzgado;epaitegi;court;Nonliving;0.11;Hi;Hi;1.5037;4.6;8;0;1.4822;4.5;8;2
1167;taller;lantegi;workshop;Nonliving;0.13;Hi;Hi;1.2629;4.7;6;1;1.7275;4.6;7;0
1321;carretera;errepide;road;Nonliving;0.14;Hi;Hi;1.6367;4.7;9;1;1.3957;4.7;8;0
1338;viento;haize;wind;Nonliving;0.00;Hi;Hi;1.8545;4.9;6;2;1.9416;4.9;5;1
1811;anuncio;iragarpen;announcement;Nonliving;0.11;Hi;Hi;1.4089;5.0;7;1;1.3395;4.9;9;1
1978;restaurante;jatetxe;restaurant;Nonliving;0.00;Hi;Hi;1.4267;5.0;11;0;1.1342;4.9;7;0
1773;cerveza;garagardo;beer;Nonliving;0.11;Hi;Hi;1.4439;5.0;7;1;0.9248;5.4;9;0
1403;invierno;negu;winter;Nonliving;0.25;Hi;Hi;1.7106;5.3;8;1;1.5895;5.3;4;1
1377;palacio;jauregi;palace;Nonliving;0.17;Hi;Hi;1.7136;5.3;7;1;1.4621;5.4;7;0
1429;moneda;txanpon;coin;Nonliving;0.14;Hi;Hi;1.3147;5.2;6;2;1.2810;5.4;7;1
1124;piedra;harri;stone;Nonliving;0.14;Hi;Hi;1.8160;5.7;6;1;2.1523;5.8;5;7
956;nube;hodei;cloud;Nonliving;0.00;Hi;Hi;1.2502;5.8;4;0;1.4822;5.9;5;1
1423;firma;sinadura;signature;Nonliving;0.22;Hi;Hi;1.5061;5.9;5;2;1.0781;5.4;8;0
2026;contexto;testuinguru;context;Nonliving;0.20;Hi;Lo;1.4029;2.8;8;1;1.5442;3.5;11;0
1589;apertura;irekitze;opening;Nonliving;0.00;Hi;Lo;1.2876;3.2;8;1;0.3222;3.2;8;0
1254;fantasía;amets;fantasy;Nonliving;0.25;Hi;Lo;1.4267;3.2;8;1;2.0130;3.3;5;1
1205;olor;usain;smell;Nonliving;0.00;Hi;Lo;1.8631;3.0;4;2;1.6927;2.7;5;2
1724;comisión;batzorde;commission;Nonliving;0.29;Hi;Lo;1.5541;3.5;8;1;1.8910;3.8;8;0
1108;época;garai;time;Nonliving;0.29;Hi;Lo;2.8721;3.5;6;0;2.6785;3.2;7;0
1450;dicha;zorion;happiness;Nonliving;0.00;Hi;Lo;1.6661;2.8;5;5;1.3502;2.9;6;2
1973;accidente;istripu;accident;Nonliving;0.22;Hi;Lo;1.5541;3.6;9;1;1.3226;4.0;7;0
1742;posesión;edukitze;possession;Nonliving;0.20;Hi;Lo;1.3644;3.7;8;0;0.5403;3.9;8;1
1903;recurso;baliabide;resources;Nonliving;0.22;Hi;Lo;1.4576;3.7;7;1;1.8786;3.3;9;0
1511;asamblea;batzar;meeting;Nonliving;0.29;Hi;Lo;1.2502;3.8;8;0;1.8625;4.0;6;1
1383;trabajo;lan;job;Nonliving;0.20;Hi;Lo;2.5346;3.8;7;1;3.0555;3.9;3;14
1276;ahorro;aurrezki;saving;Nonliving;0.00;Hi;Lo;1.2956;3.9;6;2;1.5408;3.7;8;2
1560;triunfo;garaipen;victory;Nonliving;0.38;Hi;Lo;1.6793;4.0;7;0;1.2620;3.8;8;1
1673;lista;zerrenda;list;Nonliving;0.25;Hi;Lo;1.8160;4.1;5;3;2.2014;4.4;8;1
1710;ejercicio;ariketa;exercise;Nonliving;0.00;Hi;Lo;1.7776;4.2;9;0;2.1614;4.3;7;1
1830;estuche;kutxatila;case;Nonliving;0.11;Lo;Hi;0.8710;4.7;7;0;0.6599;4.9;9;0
942;arroyo;erreka;stream;Nonliving;0.29;Lo;Hi;0.8814;4.6;6;2;1.7342;4.5;6;3
1830;estuche;kutxatila;case;Nonliving;0.10;Lo;Hi;0.8710;4.7;7;0;0.6599;4.9;9;0
986;posada;ostatu;sheet;Nonliving;0.20;Lo;Hi;0.8603;4.8;6;6;1.4323;4.5;6;2
1546;ceniza;errauts;ash;Nonliving;0.00;Lo;Hi;0.9809;4.9;6;1;0.8122;4.9;7;0
1441;ajedrez;xake;chess;Nonliving;0.11;Lo;Hi;1.1793;4.9;7;0;1.0577;4.6;4;5
1563;cinturón;gerriko;belt;Nonliving;0.20;Lo;Hi;1.1942;4.9;8;0;0.9518;5.2;7;4
1601;juguete;jostailu;toy;Nonliving;0.11;Lo;Hi;0.8035;5.1;7;0;1.2487;5.0;8;0
1397;concha;maskor;shell;Nonliving;0.17;Lo;Hi;0.9562;5.1;6;4;1.1427;5.1;6;0
1392;parcela;lursail;plot;Nonliving;0.13;Lo;Hi;0.9643;5.1;7;0;1.1514;4.9;7;0
1217;fibra;zuntz;fiber;Nonliving;0.00;Lo;Hi;1.0195;5.2;5;2;1.0366;5.1;5;2
1553;guante;eskularru;glove;Nonliving;0.40;Lo;Hi;0.9727;5.3;6;0;0.6042;5.1;9;0
1054;espuma;apar;foam;Nonliving;0.17;Lo;Hi;1.1418;5.5;6;0;0.6325;5.4;4;7
1323;cortina;errezel;curtain;Nonliving;0.33;Lo;Hi;1.1245;5.7;7;1;0.4654;5.4;7;0
1543;anillo;eraztun;ring;Nonliving;0.14;Lo;Hi;1.1992;5.7;6;1;1.2420;6.1;7;1
1444;partícula;zatiki;particle;Nonliving;0.22;Lo;Hi;1.0817;5.9;9;0;1.0781;4.7;6;3
1951;vanidad;harrokeria;vanity;Nonliving;0.08;Lo;Lo;1.0817;2.9;7;1;1.1072;3.3;10;0
1604;ubicación;kokapen;location;Nonliving;0.22;Lo;Lo;1.0000;4.0;9;0;0.9031;3.8;7;1
2093;fascinación;lilura;fascination;Nonliving;0.09;Lo;Lo;1.0792;3.0;11;0;1.0577;3.3;6;0
1898;invención;asmaketa;invention;Nonliving;0.00;Lo;Lo;1.1526;3.0;9;1;0.6042;3.5;8;0
1835;robo;lapurreta;robbery;Nonliving;0.11;Lo;Lo;1.1361;3.5;4;10;1.1427;3.3;9;1
1867;curación;sendatze;treatment;Nonliving;0.00;Lo;Lo;0.8267;3.2;8;1;0.2601;3.5;8;1
1527;zumbido;burrunba;buzzing;Nonliving;0.13;Lo;Lo;0.8035;3.3;7;0;0.9101;3.6;8;0
1894;reglamento;araudi;rules;Nonliving;0.00;Lo;Lo;0.9969;3.5;10;0;1.4411;3.1;6;2
1324;censo;errolda;census;Nonliving;0.14;Lo;Lo;0.8494;3.6;5;3;1.1514;3.8;7;1
1271;cobijo;aterpe;shelter;Nonliving;0.00;Lo;Lo;0.8494;3.7;6;1;0.9777;3.9;6;1
1395;recado;mandatu;errand;Nonliving;0.33;Lo;Lo;0.9009;3.7;6;5;0.6599;3.5;7;2
885;caucho;kautxu;rubber;Nonliving;0.33;Lo;Lo;0.9643;4.1;6;3;0.4654;4.0;6;0
898;logro;lorpen;achievement;Nonliving;0.33;Lo;Lo;1.0414;3.5;5;0;1.0781;3.8;6;2
1663;olfato;usaimen;smell;Nonliving;0.00;Lo;Lo;1.0945;3.4;6;0;0.4232;3.5;7;0
1387;sequía;lehorte;drought;Nonliving;0.17;Lo;Lo;0.8035;4.1;6;0;0.5729;3.9;7;1
1363;engaño;iruzur;deception;Nonliving;0.00;Lo;Lo;1.1245;2.7;6;0;1.1252;2.8;6;0
