trial,set_size,target_word,distract_words,image_path,target_language
0,12,['enfermera'],"testuinguru,behor,hartzaile,baliabide,xake,edukitze,errepide,kutxatila,oilar,eramaile,jokalari,aitona",../figures/Spanish_Basque_0.jpeg,Spanish
1,24,['anillo'],"harrokeria,iragarpen,errolda,iruzur,saltzaile,garaipen,sinadura,izaki,behor,mutil,emakume,erretzaile,kautxu,suge,kutxatila,aterpe,kazetari,ordezkari,lapur,kokapen,gerriko,maskor,idazkari,arrain",../figures/Spanish_Basque_1.jpeg,Spanish
2,24,['corredor'],"eramaile,aterpe,zaindari,errepide,ordezkari,arreba,baliabide,edukitze,harri,erraldoi,erromes,lorpen,jostailu,usain,istripu,garai,garaile,lekuko,zuhaitz,saltzaile,memelo,hautagai,iragarpen,iruzur",../figures/Spanish_Basque_2.jpeg,Spanish
3,8,['mujer'],"ostatu,hiltzaile,behor,txerri,lekuko,gerriko,amets,sukaldari",../figures/Spanish_Basque_3.jpeg,Spanish
4,20,['obispo'],"behor,kautxu,emakume,lilura,iruzur,jatetxe,memelo,lasterkari,harrokeria,jokalari,istripu,edukitze,sendatze,erizain,lursail,ostatu,oilar,apar,irakasle,jauregi",../figures/Spanish_Basque_4.jpeg,Spanish
5,8,['cortina'],"hodei,lapur,igarle,ikastun,arreba,eramaile,margolari,erretzaile",../figures/Spanish_Basque_5.jpeg,Spanish
6,28,['enemigo'],"hiltzaile,lantegi,kautxu,arreba,idazle,kazetari,baliabide,lorpen,erretzaile,amets,orrialde,harrokeria,sorgin,aitorle,suge,errepide,erizain,apezpiku,ordezkari,aita,igarle,haize,argitalpen,lehiakide,zaindari,erromes,lilura,arau",../figures/Spanish_Basque_6.jpeg,Spanish
7,28,['ajedrez'],"usain,garai,erraldoi,itzal,amets,ordezkari,garaile,erromes,harri,jokalari,zuntz,hodei,kazetari,barraskilo,istripu,jauregi,lorpen,erreka,irakasle,igarle,mezulari,idazkari,batzorde,maskor,lapurreta,mutil,lekuko,zuhaitz",../figures/Spanish_Basque_7.jpeg,Spanish
8,24,['obispo'],"jostailu,gidari,arkume,saltzaile,batzorde,irekitze,kazetari,lilura,jokalari,argitalpen,negu,jatetxe,erizain,atezain,kutxatila,igarle,ariketa,usain,garagardo,ordezkari,eskularru,zorion,aitorle,apar",../figures/Spanish_Basque_8.jpeg,Spanish
9,12,['estuche'],"mutil,ostatu,aditu,igarle,lilura,itzal,sendatze,garaile,batzorde,kautxu,lapurreta,testuinguru",../figures/Spanish_Basque_9.jpeg,Spanish
10,24,['delegado'],"saltzaile,baliabide,jokalari,harrokeria,hautagai,aker,eskularru,txerri,epaitegi,sorgin,erizain,oilar,erromes,jostailu,zaindari,igorle,maskor,egile,iragarpen,xake,garagardo,zaldizko,arrain,errepide",../figures/Spanish_Basque_10.jpeg,Spanish
11,8,['engaño'],"garagardo,mezulari,sinadura,barraskilo,usain,ordezkari,erizain,araudi",../figures/Spanish_Basque_11.jpeg,Spanish
12,28,['restaurante'],"usain,apezpiku,tximeleta,olerkari,kazetari,aitorle,errepide,behor,txerri,errolda,edukitze,mandatu,aterpe,aker,iruzur,garaile,orrialde,ikastun,igorle,barraskilo,zaindari,garai,margolari,iragarpen,koadrila,eraztun,lapurreta,ordezkari",../figures/Spanish_Basque_12.jpeg,Spanish
13,8,['zumbido'],"lapurreta,iragarpen,lehorte,edukitze,sinadura,erabiltzaile,hodei,istripu",../figures/Spanish_Basque_13.jpeg,Spanish
14,16,['yegua'],"batzar,tximeleta,gidari,errezel,lorpen,lilura,arrain,zaindari,amets,igarle,aditu,koadrila,etsai,aterpe,idazle,kazetari",../figures/Spanish_Basque_14.jpeg,Spanish
15,28,['concha'],"aitorle,arrain,hautagai,kazetari,zuhaitz,lehiakide,erraldoi,irekitze,aita,itzal,sorgin,usaimen,haize,iruzur,irakasle,aurrezki,memelo,erizain,garagardo,etsai,ariketa,argitalpen,negu,arreba,sukaldari,jokalari,errolda,zaldizko",../figures/Spanish_Basque_15.jpeg,Spanish
16,8,['regla'],"orrialde,kokapen,txerri,jatetxe,lasterkari,hodei,zerrenda,apezpiku",../figures/Spanish_Basque_16.jpeg,Spanish
17,16,['censo'],"barraskilo,garaipen,sukaldari,erreka,aditu,hiltzaile,garai,haritz,maskor,igorle,igarle,jokalari,saltzaile,lantegi,epaitegi,asmatzaile",../figures/Spanish_Basque_17.jpeg,Spanish
18,28,['ejercicio'],"lehiakide,hiltzaile,errolda,kutxatila,olerkari,gidari,garagardo,aditu,errezel,arreba,irekitze,aitorle,eramaile,zerrenda,lan,etsai,arrain,egile,ariketa,lantegi,bezero,zatiki,jatetxe,erromes,sorgin,erabiltzaile,orrialde,irakasle",../figures/Spanish_Basque_18.jpeg,Spanish
19,4,['anillo'],"usaimen,hodei,iruzur,irakurle",../figures/Spanish_Basque_19.jpeg,Spanish
20,12,['curación'],"hartzaile,errolda,harri,garaile,gerriko,istripu,erromes,lekuko,erraldoi,usain,apezpiku,tximeleta",../figures/Spanish_Basque_20.jpeg,Spanish
21,8,['secretario'],"usaimen,testuinguru,usain,lehendakari,zaldizko,aurrezki,araudi,lantegi",../figures/Spanish_Basque_21.jpeg,Spanish
22,16,['ubicación'],"barraskilo,itzal,usain,apezpiku,eramaile,hartzaile,irakasle,epaitegi,errauts,arau,baliabide,erraldoi,aker,errezel,usaimen,ariketa",../figures/Spanish_Basque_22.jpeg,Spanish
23,24,['concha'],"garagardo,mutil,batzorde,gerriko,lehorte,garaipen,iruzur,barraskilo,zerrenda,erabiltzaile,zaldizko,erizain,eskularru,asmatzaile,hautagai,mandatu,etsai,saltzaile,erromes,argitalpen,araudi,sukaldari,kutxatila,lehendakari",../figures/Spanish_Basque_23.jpeg,Spanish
24,12,['abuelo'],"erabiltzaile,gonbidatu,garaile,irekitze,igorle,kokapen,ordezkari,itzal,epaitegi,hodei,hartzaile,sendatze",../figures/Spanish_Basque_24.jpeg,Spanish
25,8,['escritor'],"testuinguru,arau,arkume,maskor,olerkari,asmaketa,errezel,garai",../figures/Spanish_Basque_25.jpeg,Spanish
26,12,['hermana'],"lehiakide,batzorde,hodei,irakasle,asmatzaile,lapurreta,barraskilo,saltzaile,sorgin,arau,txanpon,garaile",../figures/Spanish_Basque_26.jpeg,Spanish
27,28,['concha'],"olerkari,kautxu,lapur,garaipen,negu,erraldoi,jostailu,usain,egile,lapurreta,hiltzaile,xake,zatiki,lursail,gidari,zorion,igorle,sendatze,margolari,garagardo,kazetari,baliabide,erizain,mandatu,ostatu,sinadura,amets,eraztun",../figures/Spanish_Basque_27.jpeg,Spanish
28,16,['jinete'],"mandatu,araudi,zuhaitz,txanpon,jauregi,apar,hartzaile,errauts,lehorte,izaki,usaimen,garai,lantegi,lilura,errezel,jostailu",../figures/Spanish_Basque_28.jpeg,Spanish
29,24,['juzgado'],"orrialde,ariketa,gerriko,koadrila,idazkari,iragarpen,idazle,zatiki,lursail,amets,jatetxe,egile,igarle,haize,etsai,atezain,jokalari,irekitze,izaki,lekuko,garaipen,sorgin,aitona,errauts",../figures/Spanish_Basque_29.jpeg,Spanish
0,12,['erizain'],"contexto,yegua,receptor,recurso,ajedrez,posesión,carretera,estuche,gallo,portador,jugador,abuelo",../figures/Basque_Spanish_0.jpeg,Basque
