trial,set_size,target_word,distract_words,image_path,target_language
1,24,['eraztun'],"vanidad,anuncio,censo,engaño,vendedor,triunfo,firma,criatura,yegua,muchacho,mujer,fumador,caucho,serpiente,estuche,cobijo,periodista,delegado,ladrón,ubicación,cinturón,concha,secretario,pescado",../figures/Basque_Spanish_1.jpeg,Basque
2,24,['lasterkari'],"portador,cobijo,guardián,carretera,delegado,hermana,recurso,posesión,piedra,gigante,peregrino,logro,juguete,olor,accidente,época,vencedor,testigo,árbol,vendedor,idiota,candidato,anuncio,engaño",../figures/Basque_Spanish_2.jpeg,Basque
3,8,['emakume'],"posada,asesino,yegua,cerdo,testigo,cinturón,fantasía,cocinero",../figures/Basque_Spanish_3.jpeg,Basque
4,20,['apezpiku'],"yegua,caucho,mujer,fascinación,engaño,restaurante,idiota,corredor,vanidad,jugador,accidente,posesión,curación,enfermera,parcela,posada,gallo,espuma,profesor,palacio",../figures/Basque_Spanish_4.jpeg,Basque
5,8,['errezel'],"nube,ladrón,adivina,aprendiz,hermana,portador,pintor,fumador",../figures/Basque_Spanish_5.jpeg,Basque
6,28,['etsai'],"asesino,taller,caucho,hermana,escritor,periodista,recurso,logro,fumador,fantasía,página,vanidad,bruja,confesor,serpiente,carretera,enfermera,obispo,delegado,padre,adivina,viento,edición,rival,guardián,peregrino,fascinación,regla",../figures/Basque_Spanish_6.jpeg,Basque
7,28,['xake'],"olor,época,gigante,sombra,fantasía,delegado,vencedor,peregrino,piedra,jugador,fibra,nube,periodista,caracol,accidente,palacio,logro,arroyo,profesor,adivina,mensajero,secretario,comisión,concha,robo,muchacho,testigo,árbol",../figures/Basque_Spanish_7.jpeg,Basque
8,24,['apezpiku'],"juguete,conductor,cordero,vendedor,comisión,apertura,periodista,fascinación,jugador,edición,invierno,restaurante,enfermera,portero,estuche,adivina,ejercicio,olor,cerveza,delegado,guante,dicha,confesor,espuma",../figures/Basque_Spanish_8.jpeg,Basque
9,12,['kutxatila'],"muchacho,posada,experto,adivina,fascinación,sombra,curación,vencedor,comisión,caucho,robo,contexto",../figures/Basque_Spanish_9.jpeg,Basque
10,24,['ordezkari'],"vendedor,recurso,jugador,vanidad,candidato,cabrón,guante,cerdo,juzgado,bruja,enfermera,gallo,peregrino,juguete,guardián,emisor,concha,autor,anuncio,ajedrez,cerveza,jinete,pescado,carretera",../figures/Basque_Spanish_10.jpeg,Basque
11,8,['iruzur'],"cerveza,mensajero,firma,caracol,olor,delegado,enfermera,reglamento",../figures/Basque_Spanish_11.jpeg,Basque
12,28,['jatetxe'],"olor,obispo,mariposa,poeta,periodista,confesor,carretera,yegua,cerdo,censo,posesión,recado,cobijo,cabrón,engaño,vencedor,página,aprendiz,emisor,caracol,guardián,época,pintor,anuncio,pandilla,anillo,robo,delegado",../figures/Basque_Spanish_12.jpeg,Basque
13,8,['burrunba'],"robo,anuncio,sequía,posesión,firma,usuario,nube,accidente",../figures/Basque_Spanish_13.jpeg,Basque
14,16,['behor'],"asamblea,mariposa,conductor,cortina,logro,fascinación,pescado,guardián,fantasía,adivina,experto,pandilla,enemigo,cobijo,escritor,periodista",../figures/Basque_Spanish_14.jpeg,Basque
15,28,['maskor'],"confesor,pescado,candidato,periodista,árbol,rival,gigante,apertura,padre,sombra,bruja,olfato,viento,engaño,profesor,ahorro,idiota,enfermera,cerveza,enemigo,ejercicio,edición,invierno,hermana,cocinero,jugador,censo,jinete",../figures/Basque_Spanish_15.jpeg,Basque
16,8,['arau'],"página,ubicación,cerdo,restaurante,corredor,nube,lista,obispo",../figures/Basque_Spanish_16.jpeg,Basque
17,16,['errolda'],"caracol,triunfo,cocinero,arroyo,experto,asesino,época,roble,concha,emisor,adivina,jugador,vendedor,taller,juzgado,inventor",../figures/Basque_Spanish_17.jpeg,Basque
18,28,['ariketa'],"rival,asesino,censo,estuche,poeta,conductor,cerveza,experto,cortina,hermana,apertura,confesor,portador,lista,trabajo,enemigo,pescado,autor,ejercicio,taller,cliente,partícula,restaurante,peregrino,bruja,usuario,página,profesor",../figures/Basque_Spanish_18.jpeg,Basque
19,4,['eraztun'],"olfato,nube,engaño,lector",../figures/Basque_Spanish_19.jpeg,Basque
20,12,['sendatze'],"receptor,censo,piedra,vencedor,cinturón,accidente,peregrino,testigo,gigante,olor,obispo,mariposa",../figures/Basque_Spanish_20.jpeg,Basque
21,8,['idazkari'],"olfato,contexto,olor,presidente,jinete,ahorro,reglamento,taller",../figures/Basque_Spanish_21.jpeg,Basque
22,16,['kokapen'],"caracol,sombra,olor,obispo,portador,receptor,profesor,juzgado,ceniza,regla,recurso,gigante,cabrón,cortina,olfato,ejercicio",../figures/Basque_Spanish_22.jpeg,Basque
23,24,['maskor'],"cerveza,muchacho,comisión,cinturón,sequía,triunfo,engaño,caracol,lista,usuario,jinete,enfermera,guante,inventor,candidato,recado,enemigo,vendedor,peregrino,edición,reglamento,cocinero,estuche,presidente",../figures/Basque_Spanish_23.jpeg,Basque
24,12,['aitona'],"usuario,invitado,vencedor,apertura,emisor,ubicación,delegado,sombra,juzgado,nube,receptor,curación",../figures/Basque_Spanish_24.jpeg,Basque
25,8,['idazle'],"contexto,regla,cordero,concha,poeta,invención,cortina,época",../figures/Basque_Spanish_25.jpeg,Basque
26,12,['arreba'],"rival,comisión,nube,profesor,inventor,robo,caracol,vendedor,bruja,regla,moneda,vencedor",../figures/Basque_Spanish_26.jpeg,Basque
27,28,['maskor'],"poeta,caucho,ladrón,triunfo,invierno,gigante,juguete,olor,autor,robo,asesino,ajedrez,partícula,parcela,conductor,dicha,emisor,curación,pintor,cerveza,periodista,recurso,enfermera,recado,posada,firma,fantasía,anillo",../figures/Basque_Spanish_27.jpeg,Basque
28,16,['zaldizko'],"recado,reglamento,árbol,moneda,palacio,espuma,receptor,ceniza,sequía,criatura,olfato,época,taller,fascinación,cortina,juguete",../figures/Basque_Spanish_28.jpeg,Basque
29,24,['epaitegi'],"página,ejercicio,cinturón,pandilla,secretario,anuncio,escritor,partícula,parcela,fantasía,restaurante,autor,adivina,viento,enemigo,portero,jugador,apertura,criatura,testigo,triunfo,bruja,abuelo,ceniza",../figures/Basque_Spanish_29.jpeg,Basque
