trial,set_size,target_word,distract_words,image_path
0,12,['erabiltzaile'],"fantasía,partícula,anuncio,receptor,yegua,cerveza,cliente,guante,adivina,olfato,curación,experto",../figures/Basque_0.jpeg
1,24,['asmatzaile'],"portador,zumbido,recurso,serpiente,criatura,ceniza,presidente,época,restaurante,confesor,concha,invención,roble,nube,peregrino,censo,testigo,invitado,obispo,fantasía,sombra,olor,enemigo,parcela",../figures/Basque_1.jpeg
2,24,['garai'],"serpiente,parcela,vencedor,página,ejercicio,pesimista,cerdo,emisor,posada,vendedor,pintor,ajedrez,cerveza,obispo,corredor,regla,jugador,muchacho,firma,roble,invención,autor,presidente,candidato",../figures/Basque_2.jpeg
3,8,['aitona'],"conductor,lista,jinete,cocinero,comisión,poeta,olfato,delegado",../figures/Basque_3.jpeg
4,20,['ariketa'],"asamblea,corredor,guante,posesión,carretera,guardián,robo,ejercicio,padre,recado,sequía,candidato,invierno,restaurante,engaño,página,delegado,escritor,firma,taller",../figures/Basque_4.jpeg
5,8,['iruzur'],"adivina,firma,autor,mariposa,ceniza,curación,obispo,enemigo",../figures/Basque_5.jpeg
6,28,['argitalpen'],"palacio,guante,secretario,dicha,robo,conductor,cordero,usuario,recado,curación,posesión,ejercicio,anillo,pandilla,adivina,delegado,zumbido,logro,roble,recurso,muchacho,caucho,receptor,profesor,regla,triunfo,reglamento,cinturón",../figures/Basque_6.jpeg
7,28,['lorpen'],"edición,peregrino,hermana,contexto,conductor,cordero,olor,guante,partícula,palacio,roble,invierno,caracol,gallo,engaño,gigante,comisión,juguete,mujer,bruja,asesino,invención,vencedor,arroyo,fascinación,cortina,estuche,dicha",../figures/Basque_7.jpeg
8,24,['jostailu'],"secretario,padre,sequía,contexto,poeta,caracol,ajedrez,mensajero,portador,fantasía,estuche,asesino,confesor,sombra,fibra,conductor,juguete,invitado,lista,triunfo,obispo,página,pintor,cocinero",../figures/Basque_8.jpeg
9,12,['aterpe'],"reglamento,posada,invención,conductor,fibra,pescado,cerveza,trabajo,receptor,fumador,palacio,obispo",../figures/Basque_9.jpeg
10,24,['orrialde'],"taller,ahorro,anuncio,idiota,hermana,mujer,trabajo,sequía,anillo,aprendiz,cabrón,dicha,caracol,edición,cliente,cerveza,vendedor,autor,logro,ladrón,pandilla,engaño,bruja,cerdo",../figures/Basque_10.jpeg
11,8,['gidari'],"anuncio,cliente,yegua,bruja,receptor,piedra,sombra,pandilla",../figures/Basque_11.jpeg
12,28,['erretzaile'],"lector,triunfo,profesor,gigante,reglamento,juguete,mensajero,recurso,experto,cocinero,caracol,fantasía,comisión,cobijo,cliente,ejercicio,jinete,posada,enemigo,fibra,hermana,ubicación,bruja,padre,portero,taller,pesimista,cerveza",../figures/Basque_12.jpeg
13,8,['garai'],"idiota,ladrón,concha,muchacho,padre,experto,sequía,cocinero",../figures/Basque_13.jpeg
14,16,['oilar'],"ubicación,hermana,caucho,cobijo,regla,inventor,asamblea,cortina,época,usuario,pintor,vencedor,moneda,ejercicio,gallo,enemigo",../figures/Basque_14.jpeg
15,28,['oilar'],"recado,emisor,firma,cinturón,ceniza,logro,comisión,sombra,triunfo,cortina,posada,robo,cobijo,ejercicio,estuche,idiota,carretera,cocinero,pesimista,gallo,olor,lista,censo,testigo,roble,moneda,dicha,fantasía",../figures/Basque_15.jpeg
16,8,['maskor'],"árbol,asamblea,gallo,trabajo,ahorro,aprendiz,palacio,parcela",../figures/Basque_16.jpeg
17,16,['arreba'],"emisor,usuario,rival,ubicación,gigante,muchacho,profesor,peregrino,estuche,enfermera,ajedrez,anuncio,ladrón,invención,hermana,espuma",../figures/Basque_17.jpeg
18,28,['asmaketa'],"triunfo,fumador,contexto,árbol,edición,olor,jugador,posesión,pintor,aprendiz,mensajero,pandilla,robo,estuche,peregrino,delegado,recurso,obispo,censo,posada,ceniza,ejercicio,enfermera,poeta,cinturón,restaurante,vendedor,asamblea",../figures/Basque_18.jpeg
19,4,['jostailu'],"anillo,zumbido,cinturón,ejercicio",../figures/Basque_19.jpeg
20,12,['zaindari'],"estuche,asesino,cliente,enfermera,vencedor,roble,cerdo,cerveza,portero,cordero,sequía,nube",../figures/Basque_20.jpeg
21,8,['eskularru'],"escritor,estuche,árbol,portador,anuncio,inventor,invierno,candidato",../figures/Basque_21.jpeg
22,16,['erreka'],"peregrino,rival,anillo,portador,receptor,presidente,profesor,periodista,mensajero,guardián,bruja,ajedrez,enfermera,pescado,palacio,pintor",../figures/Basque_22.jpeg
23,24,['lantegi'],"cerdo,abuelo,lista,firma,guardián,espuma,asamblea,accidente,poeta,usuario,anillo,estuche,restaurante,comisión,estuche,caracol,bruja,nube,taller,carretera,inventor,partícula,ladrón,ubicación",../figures/Basque_23.jpeg
24,12,['erraldoi'],"cortina,sequía,ahorro,experto,apertura,curación,cabrón,guardián,poeta,caracol,restaurante,cobijo",../figures/Basque_24.jpeg
25,8,['iruzur'],"cinturón,ejercicio,pesimista,testigo,viento,ahorro,asesino,mariposa",../figures/Basque_25.jpeg
26,12,['aker'],"guante,cocinero,portador,mariposa,conductor,estuche,trabajo,triunfo,anillo,cerdo,concha,ejercicio",../figures/Basque_26.jpeg
27,28,['irakasle'],"invitado,padre,guante,ahorro,concha,experto,pintor,cabrón,ladrón,juguete,portador,hermana,posesión,zumbido,secretario,candidato,cordero,aprendiz,asamblea,engaño,abuelo,fascinación,jinete,pesimista,yegua,mariposa,emisor,partícula",../figures/Basque_27.jpeg
28,16,['mutil'],"mariposa,regla,asamblea,vanidad,caracol,periodista,cabrón,carretera,secretario,época,restaurante,cerdo,lector,pandilla,recurso,dicha",../figures/Basque_28.jpeg
29,24,['itzal'],"engaño,cliente,parcela,trabajo,olor,juzgado,delegado,firma,dicha,portero,apertura,página,anillo,vencedor,posesión,fumador,conductor,posada,muchacho,obispo,accidente,fantasía,poeta,fibra",../figures/Basque_29.jpeg
30,4,['gidari'],"mariposa,caracol,lector,juzgado",../figures/Basque_30.jpeg
31,24,['mandatu'],"pescado,olor,profesor,palacio,dicha,ahorro,invención,fascinación,asesino,muchacho,regla,candidato,rival,recurso,guante,recado,enfermera,fumador,lector,idiota,invierno,padre,criatura,estuche",../figures/Basque_31.jpeg
32,8,['usaimen'],"cabrón,estuche,idiota,página,pandilla,pescado,cocinero,carretera",../figures/Basque_32.jpeg
33,16,['testuinguru'],"corredor,ladrón,sombra,viento,página,cerveza,invitado,enemigo,cinturón,secretario,piedra,sequía,logro,emisor,recado,experto",../figures/Basque_33.jpeg
34,20,['baliabide'],"confesor,periodista,taller,ceniza,contexto,jugador,ejercicio,mensajero,mujer,zumbido,arroyo,usuario,comisión,olfato,caucho,caracol,guante,restaurante,triunfo,profesor",../figures/Basque_34.jpeg
35,4,['garaipen'],"restaurante,apertura,olor,confesor",../figures/Basque_35.jpeg
36,16,['jatetxe'],"periodista,emisor,cinturón,lista,robo,hermana,estuche,escritor,cortina,vendedor,criatura,recurso,sombra,profesor,pintor,dicha",../figures/Basque_36.jpeg
37,20,['ikastun'],"idiota,anillo,roble,abuelo,fascinación,estuche,invitado,juguete,arroyo,árbol,pesimista,cliente,lista,confesor,olfato,ceniza,mujer,portador,palacio,comisión",../figures/Basque_37.jpeg
38,20,['kokapen'],"logro,cerveza,guante,portero,jugador,portador,robo,poeta,vanidad,cocinero,fascinación,serpiente,pescado,invención,anuncio,gallo,jinete,secretario,periodista,roble",../figures/Basque_38.jpeg
39,24,['egile'],"posada,secretario,fibra,mujer,bruja,pescado,ejercicio,olor,enemigo,dicha,época,piedra,ajedrez,pesimista,anillo,juguete,concha,invitado,autor,rival,cortina,ladrón,arroyo,fascinación",../figures/Basque_39.jpeg
40,16,['errezel'],"palacio,conductor,moneda,carretera,parcela,periodista,fibra,guardián,presidente,estuche,invención,idiota,vencedor,olfato,mariposa,escritor",../figures/Basque_40.jpeg
