trial,set_size,target_word,distract_words,image_path
41,28,['asmatzaile'],"arroyo,ceniza,idiota,escritor,juzgado,lista,emisor,pescado,cobijo,fumador,firma,hermana,invierno,época,pintor,palacio,lector,serpiente,juguete,pesimista,cocinero,recurso,guante,autor,estuche,pandilla,gigante,asesino",../figures/Basque_41.jpeg
42,16,['errezel'],"escritor,fantasía,lector,piedra,portador,corredor,pesimista,cerdo,curación,arroyo,candidato,roble,lista,serpiente,triunfo,rival",../figures/Basque_42.jpeg
43,8,['aditu'],"invención,jinete,sombra,vendedor,gallo,enfermera,ajedrez,mensajero",../figures/Basque_43.jpeg
44,16,['hodei'],"ahorro,dicha,viento,guardián,estuche,guante,juguete,enemigo,profesor,periodista,bruja,posesión,fumador,firma,serpiente,vendedor",../figures/Basque_44.jpeg
45,24,['haritz'],"anillo,regla,invierno,estuche,espuma,inventor,cliente,recurso,olor,pandilla,enemigo,cordero,fascinación,invitado,vendedor,anuncio,enfermera,guante,asesino,fantasía,conductor,ejercicio,reglamento,invención",../figures/Basque_45.jpeg
46,12,['zaldizko'],"ahorro,gallo,posesión,ejercicio,enfermera,pintor,cerveza,jinete,yegua,anillo,robo,curación",../figures/Basque_46.jpeg
47,24,['gonbidatu'],"jugador,cerdo,secretario,trabajo,parcela,gallo,asamblea,idiota,anuncio,restaurante,accidente,recurso,viento,cliente,pescado,fumador,piedra,autor,conductor,criatura,arroyo,engaño,comisión,asesino",../figures/Basque_47.jpeg
48,16,['harrokeria'],"parcela,yegua,triunfo,caucho,profesor,posada,portador,estuche,jinete,aprendiz,posesión,ubicación,olor,guante,poeta,sequía",../figures/Basque_48.jpeg
49,4,['apar'],"cerveza,apertura,padre,delegado",../figures/Basque_49.jpeg
50,24,['garaile'],"presidente,cocinero,olfato,página,partícula,idiota,receptor,restaurante,ceniza,parcela,curación,accidente,mensajero,juguete,experto,aprendiz,viento,trabajo,recado,contexto,invitado,padre,sequía,secretario",../figures/Basque_50.jpeg
51,12,['irakurle'],"ajedrez,vendedor,partícula,olor,sequía,receptor,padre,página,cerveza,peregrino,estuche,trabajo",../figures/Basque_51.jpeg
52,20,['errepide'],"testigo,moneda,ceniza,edición,autor,ajedrez,vendedor,caucho,receptor,adivina,aprendiz,página,mujer,cinturón,logro,olfato,partícula,olor,abuelo,asesino",../figures/Basque_52.jpeg
53,24,['lapurreta'],"estuche,sequía,juguete,cabrón,concha,fascinación,candidato,comisión,mariposa,taller,contexto,engaño,espuma,pescado,idiota,zumbido,portador,sombra,cobijo,ubicación,partícula,profesor,bruja,corredor",../figures/Basque_53.jpeg
54,16,['maskor'],"triunfo,posesión,profesor,estuche,cordero,usuario,reglamento,invierno,fumador,apertura,bruja,portero,anuncio,regla,censo,caucho",../figures/Basque_54.jpeg
55,16,['lilura'],"ceniza,recado,guardián,espuma,pescado,presidente,vendedor,curación,periodista,cerdo,cocinero,ajedrez,caucho,cabrón,posesión,juguete",../figures/Basque_55.jpeg
56,20,['araudi'],"jugador,pescado,mujer,asesino,enfermera,guardián,cabrón,pintor,inventor,usuario,dicha,yegua,estuche,ejercicio,confesor,candidato,ahorro,ladrón,experto,taller",../figures/Basque_56.jpeg
57,28,['edukitze'],"testigo,guante,pintor,caracol,delegado,censo,comisión,sequía,reglamento,peregrino,parcela,corredor,abuelo,emisor,estuche,regla,fibra,jugador,lector,logro,apertura,pescado,invierno,cliente,caucho,posada,ejercicio,candidato",../figures/Basque_57.jpeg
58,16,['kutxatila'],"triunfo,guante,jinete,árbol,olor,experto,recado,taller,robo,reglamento,corredor,anillo,caucho,portador,vanidad,ubicación",../figures/Basque_58.jpeg
59,4,['ariketa'],"engaño,fibra,recado,taller",../figures/Basque_59.jpeg
