conditions,deviationAway,match,gabor,corrAns,trials
90,0.0,1.0,90.0,up,1
90,8.0,0.0,98.0,right,2
90,-10.0,0.0,80.0,left,3
45,0.0,1.0,45.0,up,4
135,0.0,1.0,135.0,up,5
45,6.0,0.0,51.0,right,6
45,4.0,0.0,49.0,right,7
90,0.0,1.0,90.0,up,8
90,-8.0,0.0,82.0,left,9
0,0.0,1.0,0.0,up,10
135,4.0,0.0,139.0,right,11
0,-8.0,0.0,-8.0,left,12
0,-2.0,0.0,-2.0,left,13
45,-4.0,0.0,41.0,left,14
45,0.0,1.0,45.0,up,15
0,2.0,0.0,2.0,right,16
90,4.0,0.0,94.0,right,17
90,-2.0,0.0,88.0,left,18
90,6.0,0.0,96.0,right,19
0,0.0,1.0,0.0,up,20
45,2.0,0.0,47.0,right,21
135,8.0,0.0,143.0,right,22
45,-4.0,0.0,41.0,left,23
90,-10.0,0.0,80.0,left,24
135,4.0,0.0,139.0,right,25
135,4.0,0.0,139.0,right,26
45,0.0,1.0,45.0,up,27
0,-10.0,0.0,-10.0,left,28
135,10.0,0.0,145.0,right,29
0,10.0,0.0,10.0,right,30
135,-4.0,0.0,131.0,left,31
0,0.0,1.0,0.0,up,32
90,0.0,1.0,90.0,up,33
45,6.0,0.0,51.0,right,34
135,0.0,1.0,135.0,up,35
0,-6.0,0.0,-6.0,left,36
0,-2.0,0.0,-2.0,left,37
135,-4.0,0.0,131.0,left,38
45,8.0,0.0,53.0,right,39
90,0.0,1.0,90.0,up,40
135,0.0,1.0,135.0,up,41
135,-6.0,0.0,129.0,left,42
45,-8.0,0.0,37.0,left,43
0,8.0,0.0,8.0,right,44
0,0.0,1.0,0.0,up,45
0,0.0,1.0,0.0,up,46
90,-2.0,0.0,88.0,left,47
90,2.0,0.0,92.0,right,48
90,-10.0,0.0,80.0,left,49
135,8.0,0.0,143.0,right,50
0,0.0,1.0,0.0,up,51
135,0.0,1.0,135.0,up,52
135,-2.0,0.0,133.0,left,53
0,-6.0,0.0,-6.0,left,54
45,4.0,0.0,49.0,right,55
0,6.0,0.0,6.0,right,56
135,-2.0,0.0,133.0,left,57
90,0.0,1.0,90.0,up,58
45,0.0,1.0,45.0,up,59
135,4.0,0.0,139.0,right,60
0,0.0,1.0,0.0,up,61
135,0.0,1.0,135.0,up,62
45,0.0,1.0,45.0,up,63
45,-2.0,0.0,43.0,left,64
45,8.0,0.0,53.0,right,65
45,6.0,0.0,51.0,right,66
90,-10.0,0.0,80.0,left,67
135,-10.0,0.0,125.0,left,68
45,-8.0,0.0,37.0,left,69
0,-2.0,0.0,-2.0,left,70
0,8.0,0.0,8.0,right,71
45,2.0,0.0,47.0,right,72
90,4.0,0.0,94.0,right,73
135,-8.0,0.0,127.0,left,74
0,-6.0,0.0,-6.0,left,75
90,-2.0,0.0,88.0,left,76
45,8.0,0.0,53.0,right,77
0,0.0,1.0,0.0,up,78
0,-8.0,0.0,-8.0,left,79
90,0.0,1.0,90.0,up,80
0,-4.0,0.0,-4.0,left,81
0,8.0,0.0,8.0,right,82
135,0.0,1.0,135.0,up,83
45,-6.0,0.0,39.0,left,84
135,10.0,0.0,145.0,right,85
90,2.0,0.0,92.0,right,86
135,0.0,1.0,135.0,up,87
45,10.0,0.0,55.0,right,88
0,4.0,0.0,4.0,right,89
0,-2.0,0.0,-2.0,left,90
90,2.0,0.0,92.0,right,91
45,0.0,1.0,45.0,up,92
135,-4.0,0.0,131.0,left,93
90,0.0,1.0,90.0,up,94
135,8.0,0.0,143.0,right,95
0,-4.0,0.0,-4.0,left,96
45,8.0,0.0,53.0,right,97
90,0.0,1.0,90.0,up,98
90,-4.0,0.0,86.0,left,99
135,0.0,1.0,135.0,up,100
90,-4.0,0.0,86.0,left,101
135,8.0,0.0,143.0,right,102
45,2.0,0.0,47.0,right,103
135,4.0,0.0,139.0,right,104
45,8.0,0.0,53.0,right,105
45,0.0,1.0,45.0,up,106
45,8.0,0.0,53.0,right,107
0,-8.0,0.0,-8.0,left,108
90,4.0,0.0,94.0,right,109
135,4.0,0.0,139.0,right,110
90,0.0,1.0,90.0,up,111
90,-6.0,0.0,84.0,left,112
0,-2.0,0.0,-2.0,left,113
90,0.0,1.0,90.0,up,114
135,-2.0,0.0,133.0,left,115
135,6.0,0.0,141.0,right,116
90,10.0,0.0,100.0,right,117
90,-6.0,0.0,84.0,left,118
90,0.0,1.0,90.0,up,119
45,8.0,0.0,53.0,right,120
135,-8.0,0.0,127.0,left,121
0,-6.0,0.0,-6.0,left,122
90,10.0,0.0,100.0,right,123
135,4.0,0.0,139.0,right,124
45,-4.0,0.0,41.0,left,125
135,10.0,0.0,145.0,right,126
135,-2.0,0.0,133.0,left,127
90,8.0,0.0,98.0,right,128
135,10.0,0.0,145.0,right,129
135,0.0,1.0,135.0,up,130
45,2.0,0.0,47.0,right,131
0,6.0,0.0,6.0,right,132
0,0.0,1.0,0.0,up,133
90,10.0,0.0,100.0,right,134
45,0.0,1.0,45.0,up,135
90,0.0,1.0,90.0,up,136
0,6.0,0.0,6.0,right,137
135,4.0,0.0,139.0,right,138
45,-10.0,0.0,35.0,left,139
0,-10.0,0.0,-10.0,left,140
135,0.0,1.0,135.0,up,141
90,6.0,0.0,96.0,right,142
0,0.0,1.0,0.0,up,143
45,-4.0,0.0,41.0,left,144
135,-10.0,0.0,125.0,left,145
45,0.0,1.0,45.0,up,146
90,-6.0,0.0,84.0,left,147
0,-2.0,0.0,-2.0,left,148
45,10.0,0.0,55.0,right,149
0,-2.0,0.0,-2.0,left,150
0,6.0,0.0,6.0,right,151
0,0.0,1.0,0.0,up,152
45,2.0,0.0,47.0,right,153
0,0.0,1.0,0.0,up,154
135,-4.0,0.0,131.0,left,155
90,0.0,1.0,90.0,up,156
90,6.0,0.0,96.0,right,157
90,-10.0,0.0,80.0,left,158
45,6.0,0.0,51.0,right,159
45,-4.0,0.0,41.0,left,160
135,-4.0,0.0,131.0,left,161
135,-8.0,0.0,127.0,left,162
135,-6.0,0.0,129.0,left,163
135,2.0,0.0,137.0,right,164
135,-4.0,0.0,131.0,left,165
45,0.0,1.0,45.0,up,166
45,0.0,1.0,45.0,up,167
90,0.0,1.0,90.0,up,168
135,-8.0,0.0,127.0,left,169
0,4.0,0.0,4.0,right,170
0,6.0,0.0,6.0,right,171
135,0.0,1.0,135.0,up,172
135,-2.0,0.0,133.0,left,173
135,8.0,0.0,143.0,right,174
135,2.0,0.0,137.0,right,175
135,2.0,0.0,137.0,right,176
45,-10.0,0.0,35.0,left,177
45,4.0,0.0,49.0,right,178
0,4.0,0.0,4.0,right,179
135,-10.0,0.0,125.0,left,180
135,6.0,0.0,141.0,right,181
90,0.0,1.0,90.0,up,182
0,6.0,0.0,6.0,right,183
0,6.0,0.0,6.0,right,184
135,4.0,0.0,139.0,right,185
0,-10.0,0.0,-10.0,left,186
45,8.0,0.0,53.0,right,187
135,6.0,0.0,141.0,right,188
45,4.0,0.0,49.0,right,189
90,10.0,0.0,100.0,right,190
135,8.0,0.0,143.0,right,191
45,0.0,1.0,45.0,up,192
90,0.0,1.0,90.0,up,193
0,2.0,0.0,2.0,right,194
45,10.0,0.0,55.0,right,195
135,0.0,1.0,135.0,up,196
45,0.0,1.0,45.0,up,197
45,-8.0,0.0,37.0,left,198
90,-10.0,0.0,80.0,left,199
135,4.0,0.0,139.0,right,200
0,2.0,0.0,2.0,right,201
90,-10.0,0.0,80.0,left,202
45,8.0,0.0,53.0,right,203
90,4.0,0.0,94.0,right,204
90,-2.0,0.0,88.0,left,205
45,0.0,1.0,45.0,up,206
90,-4.0,0.0,86.0,left,207
0,-4.0,0.0,-4.0,left,208
45,-10.0,0.0,35.0,left,209
135,8.0,0.0,143.0,right,210
0,8.0,0.0,8.0,right,211
