conditions,deviationAway,match,gabor,corrAns,trials
45,4.0,0.0,49.0,right,212
135,-10.0,0.0,125.0,left,213
135,6.0,0.0,141.0,right,214
90,10.0,0.0,100.0,right,215
135,6.0,0.0,141.0,right,216
45,10.0,0.0,55.0,right,217
45,-2.0,0.0,43.0,left,218
45,-10.0,0.0,35.0,left,219
45,0.0,1.0,45.0,up,220
135,2.0,0.0,137.0,right,221
135,0.0,1.0,135.0,up,222
45,0.0,1.0,45.0,up,223
90,10.0,0.0,100.0,right,224
0,-8.0,0.0,-8.0,left,225
135,6.0,0.0,141.0,right,226
135,-6.0,0.0,129.0,left,227
135,6.0,0.0,141.0,right,228
135,-6.0,0.0,129.0,left,229
0,6.0,0.0,6.0,right,230
90,0.0,1.0,90.0,up,231
0,0.0,1.0,0.0,up,232
45,0.0,1.0,45.0,up,233
90,0.0,1.0,90.0,up,234
0,0.0,1.0,0.0,up,235
45,6.0,0.0,51.0,right,236
90,-4.0,0.0,86.0,left,237
90,-10.0,0.0,80.0,left,238
0,2.0,0.0,2.0,right,239
135,0.0,1.0,135.0,up,240
45,4.0,0.0,49.0,right,241
135,0.0,1.0,135.0,up,242
0,4.0,0.0,4.0,right,243
0,-6.0,0.0,-6.0,left,244
135,8.0,0.0,143.0,right,245
0,0.0,1.0,0.0,up,246
90,2.0,0.0,92.0,right,247
90,6.0,0.0,96.0,right,248
45,-6.0,0.0,39.0,left,249
135,-8.0,0.0,127.0,left,250
135,0.0,1.0,135.0,up,251
45,2.0,0.0,47.0,right,252
45,10.0,0.0,55.0,right,253
90,0.0,1.0,90.0,up,254
135,-8.0,0.0,127.0,left,255
0,0.0,1.0,0.0,up,256
135,2.0,0.0,137.0,right,257
0,10.0,0.0,10.0,right,258
135,8.0,0.0,143.0,right,259
90,-2.0,0.0,88.0,left,260
135,-10.0,0.0,125.0,left,261
135,-4.0,0.0,131.0,left,262
45,2.0,0.0,47.0,right,263
90,-10.0,0.0,80.0,left,264
45,-6.0,0.0,39.0,left,265
45,10.0,0.0,55.0,right,266
45,-4.0,0.0,41.0,left,267
45,-2.0,0.0,43.0,left,268
135,10.0,0.0,145.0,right,269
0,-8.0,0.0,-8.0,left,270
0,10.0,0.0,10.0,right,271
90,0.0,1.0,90.0,up,272
90,0.0,1.0,90.0,up,273
45,0.0,1.0,45.0,up,274
135,6.0,0.0,141.0,right,275
135,0.0,1.0,135.0,up,276
90,-2.0,0.0,88.0,left,277
135,-6.0,0.0,129.0,left,278
90,8.0,0.0,98.0,right,279
45,-10.0,0.0,35.0,left,280
135,10.0,0.0,145.0,right,281
90,-6.0,0.0,84.0,left,282
135,4.0,0.0,139.0,right,283
135,-2.0,0.0,133.0,left,284
135,2.0,0.0,137.0,right,285
135,0.0,1.0,135.0,up,286
90,4.0,0.0,94.0,right,287
90,0.0,1.0,90.0,up,288
45,10.0,0.0,55.0,right,289
45,4.0,0.0,49.0,right,290
90,8.0,0.0,98.0,right,291
135,8.0,0.0,143.0,right,292
45,0.0,1.0,45.0,up,293
45,-8.0,0.0,37.0,left,294
45,6.0,0.0,51.0,right,295
135,-2.0,0.0,133.0,left,296
90,4.0,0.0,94.0,right,297
0,-2.0,0.0,-2.0,left,298
90,2.0,0.0,92.0,right,299
90,-4.0,0.0,86.0,left,300
135,4.0,0.0,139.0,right,301
0,10.0,0.0,10.0,right,302
90,0.0,1.0,90.0,up,303
45,10.0,0.0,55.0,right,304
0,6.0,0.0,6.0,right,305
0,8.0,0.0,8.0,right,306
135,2.0,0.0,137.0,right,307
90,0.0,1.0,90.0,up,308
0,0.0,1.0,0.0,up,309
45,-2.0,0.0,43.0,left,310
0,4.0,0.0,4.0,right,311
0,-2.0,0.0,-2.0,left,312
0,-4.0,0.0,-4.0,left,313
135,10.0,0.0,145.0,right,314
135,8.0,0.0,143.0,right,315
45,4.0,0.0,49.0,right,316
90,2.0,0.0,92.0,right,317
90,-4.0,0.0,86.0,left,318
45,0.0,1.0,45.0,up,319
45,0.0,1.0,45.0,up,320
0,-8.0,0.0,-8.0,left,321
0,-2.0,0.0,-2.0,left,322
0,-6.0,0.0,-6.0,left,323
45,6.0,0.0,51.0,right,324
45,10.0,0.0,55.0,right,325
0,0.0,1.0,0.0,up,326
135,-8.0,0.0,127.0,left,327
90,0.0,1.0,90.0,up,328
90,-6.0,0.0,84.0,left,329
90,0.0,1.0,90.0,up,330
90,0.0,1.0,90.0,up,331
45,-4.0,0.0,41.0,left,332
135,-8.0,0.0,127.0,left,333
0,8.0,0.0,8.0,right,334
90,-8.0,0.0,82.0,left,335
45,6.0,0.0,51.0,right,336
90,6.0,0.0,96.0,right,337
0,2.0,0.0,2.0,right,338
0,8.0,0.0,8.0,right,339
0,6.0,0.0,6.0,right,340
90,4.0,0.0,94.0,right,341
45,0.0,1.0,45.0,up,342
45,-8.0,0.0,37.0,left,343
0,0.0,1.0,0.0,up,344
0,-8.0,0.0,-8.0,left,345
45,-4.0,0.0,41.0,left,346
0,8.0,0.0,8.0,right,347
0,-6.0,0.0,-6.0,left,348
90,10.0,0.0,100.0,right,349
45,2.0,0.0,47.0,right,350
45,0.0,1.0,45.0,up,351
0,-2.0,0.0,-2.0,left,352
90,-6.0,0.0,84.0,left,353
45,-8.0,0.0,37.0,left,354
90,-4.0,0.0,86.0,left,355
0,0.0,1.0,0.0,up,356
0,-10.0,0.0,-10.0,left,357
0,-6.0,0.0,-6.0,left,358
45,-8.0,0.0,37.0,left,359
45,-2.0,0.0,43.0,left,360
135,0.0,1.0,135.0,up,361
0,-4.0,0.0,-4.0,left,362
135,-4.0,0.0,131.0,left,363
135,10.0,0.0,145.0,right,364
135,0.0,1.0,135.0,up,365
45,-6.0,0.0,39.0,left,366
90,6.0,0.0,96.0,right,367
90,-6.0,0.0,84.0,left,368
0,10.0,0.0,10.0,right,369
45,0.0,1.0,45.0,up,370
90,-8.0,0.0,82.0,left,371
90,0.0,1.0,90.0,up,372
135,-2.0,0.0,133.0,left,373
45,-8.0,0.0,37.0,left,374
0,0.0,1.0,0.0,up,375
45,0.0,1.0,45.0,up,376
0,6.0,0.0,6.0,right,377
0,-10.0,0.0,-10.0,left,378
0,6.0,0.0,6.0,right,379
90,2.0,0.0,92.0,right,380
135,0.0,1.0,135.0,up,381
90,2.0,0.0,92.0,right,382
135,-8.0,0.0,127.0,left,383
0,-6.0,0.0,-6.0,left,384
135,0.0,1.0,135.0,up,385
135,0.0,1.0,135.0,up,386
45,0.0,1.0,45.0,up,387
90,-4.0,0.0,86.0,left,388
135,0.0,1.0,135.0,up,389
135,2.0,0.0,137.0,right,390
0,0.0,1.0,0.0,up,391
135,-6.0,0.0,129.0,left,392
90,0.0,1.0,90.0,up,393
0,-2.0,0.0,-2.0,left,394
90,10.0,0.0,100.0,right,395
45,10.0,0.0,55.0,right,396
135,4.0,0.0,139.0,right,397
45,8.0,0.0,53.0,right,398
45,-2.0,0.0,43.0,left,399
135,4.0,0.0,139.0,right,400
90,4.0,0.0,94.0,right,401
45,10.0,0.0,55.0,right,402
45,-2.0,0.0,43.0,left,403
45,-4.0,0.0,41.0,left,404
45,0.0,1.0,45.0,up,405
0,8.0,0.0,8.0,right,406
45,-8.0,0.0,37.0,left,407
0,0.0,1.0,0.0,up,408
0,-8.0,0.0,-8.0,left,409
90,-10.0,0.0,80.0,left,410
135,0.0,1.0,135.0,up,411
90,0.0,1.0,90.0,up,412
45,10.0,0.0,55.0,right,413
135,-4.0,0.0,131.0,left,414
45,4.0,0.0,49.0,right,415
0,6.0,0.0,6.0,right,416
0,-6.0,0.0,-6.0,left,417
135,8.0,0.0,143.0,right,418
45,0.0,1.0,45.0,up,419
45,-10.0,0.0,35.0,left,420
90,6.0,0.0,96.0,right,421
90,-8.0,0.0,82.0,left,422
135,8.0,0.0,143.0,right,423
0,-2.0,0.0,-2.0,left,424
0,6.0,0.0,6.0,right,425
0,0.0,1.0,0.0,up,426
45,-6.0,0.0,39.0,left,427
0,6.0,0.0,6.0,right,428
90,-4.0,0.0,86.0,left,429
90,-10.0,0.0,80.0,left,430
45,0.0,1.0,45.0,up,431
0,10.0,0.0,10.0,right,432
45,-6.0,0.0,39.0,left,433
90,6.0,0.0,96.0,right,434
45,-2.0,0.0,43.0,left,435
135,-10.0,0.0,125.0,left,436
0,-8.0,0.0,-8.0,left,437
0,10.0,0.0,10.0,right,438
0,0.0,1.0,0.0,up,439
90,2.0,0.0,92.0,right,440
90,0.0,1.0,90.0,up,441
0,8.0,0.0,8.0,right,442
135,8.0,0.0,143.0,right,443
45,0.0,1.0,45.0,up,444
45,6.0,0.0,51.0,right,445
45,-10.0,0.0,35.0,left,446
90,0.0,1.0,90.0,up,447
0,-6.0,0.0,-6.0,left,448
45,-2.0,0.0,43.0,left,449
90,-10.0,0.0,80.0,left,450
45,-4.0,0.0,41.0,left,451
90,0.0,1.0,90.0,up,452
135,0.0,1.0,135.0,up,453
0,-4.0,0.0,-4.0,left,454
135,10.0,0.0,145.0,right,455
45,10.0,0.0,55.0,right,456
90,4.0,0.0,94.0,right,457
90,10.0,0.0,100.0,right,458
0,0.0,1.0,0.0,up,459
0,0.0,1.0,0.0,up,460
90,-4.0,0.0,86.0,left,461
135,-10.0,0.0,125.0,left,462
0,-2.0,0.0,-2.0,left,463
45,-8.0,0.0,37.0,left,464
0,0.0,1.0,0.0,up,465
0,0.0,1.0,0.0,up,466
135,0.0,1.0,135.0,up,467
0,0.0,1.0,0.0,up,468
90,4.0,0.0,94.0,right,469
135,-10.0,0.0,125.0,left,470
45,10.0,0.0,55.0,right,471
0,2.0,0.0,2.0,right,472
135,0.0,1.0,135.0,up,473
0,-10.0,0.0,-10.0,left,474
135,-10.0,0.0,125.0,left,475
135,4.0,0.0,139.0,right,476
45,6.0,0.0,51.0,right,477
0,-4.0,0.0,-4.0,left,478
90,0.0,1.0,90.0,up,479
0,0.0,1.0,0.0,up,480
90,0.0,1.0,90.0,up,481
45,0.0,1.0,45.0,up,482
45,0.0,1.0,45.0,up,483
90,4.0,0.0,94.0,right,484
0,-2.0,0.0,-2.0,left,485
0,-4.0,0.0,-4.0,left,486
45,-10.0,0.0,35.0,left,487
90,0.0,1.0,90.0,up,488
90,2.0,0.0,92.0,right,489
0,-8.0,0.0,-8.0,left,490
90,-6.0,0.0,84.0,left,491
135,6.0,0.0,141.0,right,492
90,0.0,1.0,90.0,up,493
0,4.0,0.0,4.0,right,494
45,-2.0,0.0,43.0,left,495
45,-6.0,0.0,39.0,left,496
135,0.0,1.0,135.0,up,497
135,0.0,1.0,135.0,up,498
90,-2.0,0.0,88.0,left,499
90,0.0,1.0,90.0,up,500
0,-10.0,0.0,-10.0,left,501
45,2.0,0.0,47.0,right,502
135,6.0,0.0,141.0,right,503
45,2.0,0.0,47.0,right,504
45,0.0,1.0,45.0,up,505
0,-4.0,0.0,-4.0,left,506
135,0.0,1.0,135.0,up,507
90,2.0,0.0,92.0,right,508
90,0.0,1.0,90.0,up,509
90,-10.0,0.0,80.0,left,510
90,2.0,0.0,92.0,right,511
135,2.0,0.0,137.0,right,512
0,2.0,0.0,2.0,right,513
135,-8.0,0.0,127.0,left,514
45,8.0,0.0,53.0,right,515
90,-4.0,0.0,86.0,left,516
135,0.0,1.0,135.0,up,517
45,8.0,0.0,53.0,right,518
45,-2.0,0.0,43.0,left,519
135,0.0,1.0,135.0,up,520
135,0.0,1.0,135.0,up,521
90,-4.0,0.0,86.0,left,522
45,0.0,1.0,45.0,up,523
135,6.0,0.0,141.0,right,524
45,-10.0,0.0,35.0,left,525
90,0.0,1.0,90.0,up,526
90,2.0,0.0,92.0,right,527
0,-10.0,0.0,-10.0,left,528
90,8.0,0.0,98.0,right,529
0,-4.0,0.0,-4.0,left,530
0,8.0,0.0,8.0,right,531
45,-6.0,0.0,39.0,left,532
90,-6.0,0.0,84.0,left,533
90,-4.0,0.0,86.0,left,534
0,-2.0,0.0,-2.0,left,535
135,0.0,1.0,135.0,up,536
90,-10.0,0.0,80.0,left,537
45,0.0,1.0,45.0,up,538
135,6.0,0.0,141.0,right,539
90,-10.0,0.0,80.0,left,540
0,-4.0,0.0,-4.0,left,541
45,-6.0,0.0,39.0,left,542
90,6.0,0.0,96.0,right,543
90,-4.0,0.0,86.0,left,544
135,-6.0,0.0,129.0,left,545
90,8.0,0.0,98.0,right,546
90,6.0,0.0,96.0,right,547
45,4.0,0.0,49.0,right,548
135,-10.0,0.0,125.0,left,549
45,-6.0,0.0,39.0,left,550
45,8.0,0.0,53.0,right,551
90,4.0,0.0,94.0,right,552
90,-6.0,0.0,84.0,left,553
90,-10.0,0.0,80.0,left,554
45,10.0,0.0,55.0,right,555
90,6.0,0.0,96.0,right,556
45,-4.0,0.0,41.0,left,557
45,-4.0,0.0,41.0,left,558
45,10.0,0.0,55.0,right,559
135,2.0,0.0,137.0,right,560
135,0.0,1.0,135.0,up,561
0,-2.0,0.0,-2.0,left,562
0,0.0,1.0,0.0,up,563
90,0.0,1.0,90.0,up,564
90,6.0,0.0,96.0,right,565
0,-8.0,0.0,-8.0,left,566
90,0.0,1.0,90.0,up,567
0,10.0,0.0,10.0,right,568
135,-8.0,0.0,127.0,left,569
135,-8.0,0.0,127.0,left,570
45,-4.0,0.0,41.0,left,571
90,0.0,1.0,90.0,up,572
135,6.0,0.0,141.0,right,573
45,0.0,1.0,45.0,up,574
0,-2.0,0.0,-2.0,left,575
0,0.0,1.0,0.0,up,576
90,2.0,0.0,92.0,right,577
0,4.0,0.0,4.0,right,578
90,6.0,0.0,96.0,right,579
90,-4.0,0.0,86.0,left,580
135,-4.0,0.0,131.0,left,581
45,-8.0,0.0,37.0,left,582
0,10.0,0.0,10.0,right,583
45,-8.0,0.0,37.0,left,584
0,-8.0,0.0,-8.0,left,585
135,-4.0,0.0,131.0,left,586
90,0.0,1.0,90.0,up,587
45,-6.0,0.0,39.0,left,588
0,-4.0,0.0,-4.0,left,589
45,-6.0,0.0,39.0,left,590
0,4.0,0.0,4.0,right,591
135,-4.0,0.0,131.0,left,592
135,4.0,0.0,139.0,right,593
45,-10.0,0.0,35.0,left,594
90,0.0,1.0,90.0,up,595
90,6.0,0.0,96.0,right,596
90,8.0,0.0,98.0,right,597
135,-6.0,0.0,129.0,left,598
45,6.0,0.0,51.0,right,599
45,4.0,0.0,49.0,right,600
90,6.0,0.0,96.0,right,601
45,0.0,1.0,45.0,up,602
45,-10.0,0.0,35.0,left,603
0,-6.0,0.0,-6.0,left,604
45,-10.0,0.0,35.0,left,605
90,-8.0,0.0,82.0,left,606
0,-6.0,0.0,-6.0,left,607
45,6.0,0.0,51.0,right,608
45,8.0,0.0,53.0,right,609
90,4.0,0.0,94.0,right,610
135,2.0,0.0,137.0,right,611
135,4.0,0.0,139.0,right,612
45,10.0,0.0,55.0,right,613
0,0.0,1.0,0.0,up,614
135,-2.0,0.0,133.0,left,615
45,6.0,0.0,51.0,right,616
0,-2.0,0.0,-2.0,left,617
0,-8.0,0.0,-8.0,left,618
45,-10.0,0.0,35.0,left,619
0,-2.0,0.0,-2.0,left,620
0,0.0,1.0,0.0,up,621
45,0.0,1.0,45.0,up,622
0,8.0,0.0,8.0,right,623
90,-4.0,0.0,86.0,left,624
45,0.0,1.0,45.0,up,625
45,-8.0,0.0,37.0,left,626
90,-2.0,0.0,88.0,left,627
0,-8.0,0.0,-8.0,left,628
45,6.0,0.0,51.0,right,629
0,-10.0,0.0,-10.0,left,630
135,0.0,1.0,135.0,up,631
0,8.0,0.0,8.0,right,632
90,-10.0,0.0,80.0,left,633
135,10.0,0.0,145.0,right,634
0,10.0,0.0,10.0,right,635
0,2.0,0.0,2.0,right,636
90,10.0,0.0,100.0,right,637
135,0.0,1.0,135.0,up,638
45,8.0,0.0,53.0,right,639
90,-6.0,0.0,84.0,left,640
135,0.0,1.0,135.0,up,641
90,-2.0,0.0,88.0,left,642
90,-10.0,0.0,80.0,left,643
0,-4.0,0.0,-4.0,left,644
135,0.0,1.0,135.0,up,645
135,-8.0,0.0,127.0,left,646
90,-8.0,0.0,82.0,left,647
45,0.0,1.0,45.0,up,648
0,0.0,1.0,0.0,up,649
135,0.0,1.0,135.0,up,650
90,4.0,0.0,94.0,right,651
45,-10.0,0.0,35.0,left,652
90,8.0,0.0,98.0,right,653
90,2.0,0.0,92.0,right,654
0,0.0,1.0,0.0,up,655
0,2.0,0.0,2.0,right,656
45,0.0,1.0,45.0,up,657
0,10.0,0.0,10.0,right,658
135,-6.0,0.0,129.0,left,659
135,-4.0,0.0,131.0,left,660
0,8.0,0.0,8.0,right,661
90,-6.0,0.0,84.0,left,662
90,-10.0,0.0,80.0,left,663
135,-4.0,0.0,131.0,left,664
0,0.0,1.0,0.0,up,665
0,-10.0,0.0,-10.0,left,666
135,-6.0,0.0,129.0,left,667
45,10.0,0.0,55.0,right,668
90,0.0,1.0,90.0,up,669
135,4.0,0.0,139.0,right,670
45,-2.0,0.0,43.0,left,671
0,-8.0,0.0,-8.0,left,672
45,0.0,1.0,45.0,up,673
135,0.0,1.0,135.0,up,674
45,2.0,0.0,47.0,right,675
0,0.0,1.0,0.0,up,676
45,-2.0,0.0,43.0,left,677
135,-6.0,0.0,129.0,left,678
90,-6.0,0.0,84.0,left,679
0,-2.0,0.0,-2.0,left,680
135,2.0,0.0,137.0,right,681
0,-6.0,0.0,-6.0,left,682
135,-2.0,0.0,133.0,left,683
135,8.0,0.0,143.0,right,684
135,0.0,1.0,135.0,up,685
45,0.0,1.0,45.0,up,686
45,2.0,0.0,47.0,right,687
90,6.0,0.0,96.0,right,688
90,6.0,0.0,96.0,right,689
0,-6.0,0.0,-6.0,left,690
45,6.0,0.0,51.0,right,691
45,10.0,0.0,55.0,right,692
45,0.0,1.0,45.0,up,693
90,0.0,1.0,90.0,up,694
135,8.0,0.0,143.0,right,695
90,-4.0,0.0,86.0,left,696
45,0.0,1.0,45.0,up,697
45,-8.0,0.0,37.0,left,698
135,-6.0,0.0,129.0,left,699
0,-6.0,0.0,-6.0,left,700
0,8.0,0.0,8.0,right,701
45,-6.0,0.0,39.0,left,702
45,0.0,1.0,45.0,up,703
45,0.0,1.0,45.0,up,704
45,2.0,0.0,47.0,right,705
90,-8.0,0.0,82.0,left,706
0,0.0,1.0,0.0,up,707
45,2.0,0.0,47.0,right,708
90,10.0,0.0,100.0,right,709
135,0.0,1.0,135.0,up,710
0,0.0,1.0,0.0,up,711
135,10.0,0.0,145.0,right,712
0,4.0,0.0,4.0,right,713
90,-8.0,0.0,82.0,left,714
90,-4.0,0.0,86.0,left,715
90,2.0,0.0,92.0,right,716
90,8.0,0.0,98.0,right,717
135,6.0,0.0,141.0,right,718
90,0.0,1.0,90.0,up,719
135,8.0,0.0,143.0,right,720
0,0.0,1.0,0.0,up,721
90,-4.0,0.0,86.0,left,722
0,8.0,0.0,8.0,right,723
0,-10.0,0.0,-10.0,left,724
135,10.0,0.0,145.0,right,725
45,4.0,0.0,49.0,right,726
135,-10.0,0.0,125.0,left,727
45,0.0,1.0,45.0,up,728
135,-8.0,0.0,127.0,left,729
90,6.0,0.0,96.0,right,730
135,2.0,0.0,137.0,right,731
0,-8.0,0.0,-8.0,left,732
90,4.0,0.0,94.0,right,733
0,4.0,0.0,4.0,right,734
45,0.0,1.0,45.0,up,735
135,0.0,1.0,135.0,up,736
45,-8.0,0.0,37.0,left,737
0,8.0,0.0,8.0,right,738
135,-8.0,0.0,127.0,left,739
90,-2.0,0.0,88.0,left,740
135,8.0,0.0,143.0,right,741
45,0.0,1.0,45.0,up,742
90,2.0,0.0,92.0,right,743
90,10.0,0.0,100.0,right,744
0,-6.0,0.0,-6.0,left,745
0,2.0,0.0,2.0,right,746
135,-2.0,0.0,133.0,left,747
135,4.0,0.0,139.0,right,748
135,8.0,0.0,143.0,right,749
90,-2.0,0.0,88.0,left,750
135,-2.0,0.0,133.0,left,751
90,-8.0,0.0,82.0,left,752
45,-2.0,0.0,43.0,left,753
135,10.0,0.0,145.0,right,754
90,-4.0,0.0,86.0,left,755
