trial,set_size,target_word,distract_words,image_path,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,fixation.stopped,press_to_go.keys,press_to_go.rt,press_to_go.started,press_to_go.stopped,targets.started,targets.stopped,just_press.keys,just_press.rt,just_press.started,just_press.stopped,participant,session,language,date,expName,psychopyVersion,frameRate,
0,16,['moneda'],"erretzaile,erreka,tximeleta,lekuko,garaile,gerriko,hodei,asmatzaile,emakume,apar,egile,aker,idazkari,erabiltzaile,lapur,barraskilo",../figures/Spanish_0.jpeg,0,0,0,0,18.199918800000887,None,space,0.4890978000003088,18.199918800000887,None,18.795402800002194,None,space,6.678657000000385,18.795402800002194,None,patxi,001,spanish,2020_Feb_18_1259,visual_search,3.2.4,42.246357096895075,
1,8,['poeta'],"negu,haize,mutil,lan,erraldoi,errezel,edukitze,emakume",../figures/Spanish_1.jpeg,0,1,1,1,25.533815900002082,None,space,0.3543989000027068,25.533815900002082,None,25.961863900000026,None,space,2.9750190999984625,25.961863900000026,None,patxi,001,spanish,2020_Feb_18_1259,visual_search,3.2.4,42.246357096895075,
2,8,['cordero'],"gonbidatu,erreka,kutxatila,ordezkari,arreba,garagardo,txanpon,baliabide",../figures/Spanish_2.jpeg,0,2,2,2,28.99279640000168,None,space,0.12161159999959636,28.99279640000168,None,29.210814900001424,None,space,2.776881099998718,29.210814900001424,None,patxi,001,spanish,2020_Feb_18_1259,visual_search,3.2.4,42.246357096895075,
3,8,['concha'],"etsai,hartzaile,batzorde,jokalari,igarle,eskularru,garagardo,usaimen",../figures/Spanish_3.jpeg,0,3,3,3,32.022050200001104,None,space,0.09122059999936027,32.022050200001104,None,32.17210800000248,None,space,2.9742576999997254,32.17210800000248,None,patxi,001,spanish,2020_Feb_18_1259,visual_search,3.2.4,42.246357096895075,
4,4,['invitado'],"idazkari,gidari,oilar,idazle",../figures/Spanish_4.jpeg,0,4,4,4,35.17565430000104,None,space,0.10738259999925504,35.17565430000104,None,35.357790699999896,None,space,1.7221349999999802,35.357790699999896,None,patxi,001,spanish,2020_Feb_18_1259,visual_search,3.2.4,42.246357096895075,
5,8,['yegua'],"zorion,jauregi,txerri,jatetxe,lasterkari,arau,aitona,lilura",../figures/Spanish_5.jpeg,0,5,5,5,37.109923300002265,None,space,0.1120416000012483,37.109923300002265,None,37.29150450000088,None,space,3.6069752000003064,37.29150450000088,None,patxi,001,spanish,2020_Feb_18_1259,visual_search,3.2.4,42.246357096895075,
6,16,['usuario'],"zaldizko,mezulari,emakume,izaki,olerkari,jauregi,garai,lilura,batzar,batzorde,xake,aker,lorpen,irakurle,hartzaile,lekuko",../figures/Spanish_6.jpeg,0,6,6,6,40.93687520000094,None,space,0.10026870000001509,40.93687520000094,None,41.12348860000202,None,space,2.919644599998719,41.12348860000202,None,patxi,001,spanish,2020_Feb_18_1259,visual_search,3.2.4,42.246357096895075,
7,16,['caucho'],"apezpiku,lehiakide,xake,idazkari,usaimen,haize,orrialde,erabiltzaile,etsai,zorion,jauregi,lantegi,erreka,mutil,arrain,apar",../figures/Spanish_7.jpeg,0,7,7,7,44.07582309999998,None,space,0.1126254999981029,44.07582309999998,None,44.25882350000029,None,space,2.3684057999998913,44.25882350000029,None,patxi,001,spanish,2020_Feb_18_1259,visual_search,3.2.4,42.246357096895075,
8,8,['viento'],"aker,sukaldari,jauregi,zuntz,orrialde,igarle,batzar,zuhaitz",../figures/Spanish_8.jpeg,0,8,8,8,46.66045690000101,None,space,0.12486260000150651,46.66045690000101,None,46.87866220000069,None,space,5.206652799999574,46.87866220000069,None,patxi,001,spanish,2020_Feb_18_1259,visual_search,3.2.4,42.246357096895075,
9,16,['ahorro'],"lapur,atezain,igarle,mezulari,irakurle,ikastun,etsai,harrokeria,zorion,istripu,sukaldari,lehendakari,errepide,harri,sinadura,xake",../figures/Spanish_9.jpeg,0,9,9,9,52.12361040000178,None,space,0.05699830000230577,52.12361040000178,None,52.241865200001484,None,space,4.345848000000842,52.241865200001484,None,patxi,001,spanish,2020_Feb_18_1259,visual_search,3.2.4,42.246357096895075,
