trial,set_size,target_word,distract_words,image_path,word_type,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,fixation.stopped,press_to_go.keys,press_to_go.rt,press_to_go.started,press_to_go.stopped,targets.started,targets.stopped,just_press.keys,just_press.rt,just_press.started,just_press.stopped,participant,session,language,date,expName,psychopyVersion,frameRate,
0,8,['ubicación'],"barraskilo,usain,igarle,lehiakide,arreba,gidari,aita,erabiltzaile",../figures/mixed_0.jpeg,Spanish,0,0,0,0,11.782535300000745,None,space,1.2778776999984984,11.782535300000745,None,13.129190400002699,None,space,2.0119035999996413,13.129190400002699,None,patxi,001,mixed,2020_Feb_18_1252,visual_search,3.2.4,41.69178596784874,
1,8,['portador'],"aitona,sukaldari,emakume,lehiakide,batzorde,sorgin,jauregi,jokalari",../figures/mixed_1.jpeg,Spanish,0,1,1,1,15.191686699999991,None,space,2.30900290000136,15.191686699999991,None,17.5772375000015,None,space,1.5350915999988501,17.5772375000015,None,patxi,001,mixed,2020_Feb_18_1252,visual_search,3.2.4,41.69178596784874,
2,8,['zatiki'],"zumbido,cobijo,juzgado,aprendiz,sombra,obispo,ceniza,ubicación",../figures/mixed_2.jpeg,Basque,0,2,2,2,19.148944200002006,None,space,1.007184199999756,19.148944200002006,None,20.229007800000545,None,space,1.2325876000031712,20.229007800000545,None,patxi,001,mixed,2020_Feb_18_1252,visual_search,3.2.4,41.69178596784874,
3,8,['poeta'],"kutxatila,arau,atezain,erraldoi,burrunba,jokalari,olerkari,igorle",../figures/mixed_3.jpeg,Spanish,0,3,3,3,21.512717400000838,None,space,1.09745539999858,21.512717400000838,None,22.702709700002742,None,space,5.547787799998332,22.702709700002742,None,patxi,001,mixed,2020_Feb_18_1252,visual_search,3.2.4,41.69178596784874,
4,8,['idazle'],"cerdo,presidente,ejercicio,palacio,fantasía,nube,sombra,zumbido",../figures/mixed_4.jpeg,Basque,0,4,4,4,28.29841330000272,None,space,0.4644005999980436,28.29841330000272,None,28.839022500000283,None,space,2.8738712999984273,28.839022500000283,None,patxi,001,mixed,2020_Feb_18_1252,visual_search,3.2.4,41.69178596784874,
5,8,['época'],"atezain,jokalari,barraskilo,hodei,errepide,zerrenda,txerri,ordezkari",../figures/mixed_5.jpeg,Spanish,0,5,5,5,31.764484600000287,None,space,0.3362401000013051,31.764484600000287,None,32.16228580000097,None,space,2.2010850999977265,32.16228580000097,None,patxi,001,mixed,2020_Feb_18_1252,visual_search,3.2.4,41.69178596784874,
6,8,['obispo'],"burrunba,aditu,hiltzaile,olerkari,hodei,baliabide,ordezkari,gonbidatu",../figures/mixed_6.jpeg,Spanish,0,6,6,6,34.416278100001364,None,space,0.14495979999992414,34.416278100001364,None,34.6494617999997,None,space,4.687623099998746,34.6494617999997,None,patxi,001,mixed,2020_Feb_18_1252,visual_search,3.2.4,41.69178596784874,
7,8,['irakurle'],"usuario,firma,idiota,cocinero,página,nube,pesimista,ajedrez",../figures/mixed_7.jpeg,Basque,0,7,7,7,39.38328950000141,None,space,0.33323350000137,39.38328950000141,None,39.78314180000234,None,space,1.3543252000017674,39.78314180000234,None,patxi,001,mixed,2020_Feb_18_1252,visual_search,3.2.4,41.69178596784874,
8,8,['argitalpen'],"caucho,periodista,curación,logro,arroyo,jinete,jugador,lista",../figures/mixed_8.jpeg,Basque,0,8,8,8,41.18163790000108,None,space,0.13322169999810285,41.18163790000108,None,41.40095160000055,None,space,3.2392049999980372,41.40095160000055,None,patxi,001,mixed,2020_Feb_18_1252,visual_search,3.2.4,41.69178596784874,
9,8,['izaki'],"cabrón,lector,ceniza,restaurante,peregrino,espuma,posada,usuario",../figures/mixed_9.jpeg,Basque,0,9,9,9,44.68617000000086,None,space,0.14601309999852674,44.68617000000086,None,44.91576850000274,None,space,2.696207400000276,44.91576850000274,None,patxi,001,mixed,2020_Feb_18_1252,visual_search,3.2.4,41.69178596784874,
10,8,['mariposa'],"iruzur,mandatu,zaldizko,arrain,itzal,aurrezki,txanpon,apezpiku",../figures/mixed_10.jpeg,Spanish,0,10,10,10,47.64017160000003,None,space,0.13871689999723458,47.64017160000003,None,47.85073320000083,None,space,5.261559700000362,47.85073320000083,None,patxi,001,mixed,2020_Feb_18_1252,visual_search,3.2.4,41.69178596784874,
11,8,['árbol'],"hodei,kautxu,memelo,asmaketa,errepide,epaitegi,garaile,erizain",../figures/mixed_11.jpeg,Spanish,0,11,11,11,53.1526494000027,None,space,0.11779549999846495,53.1526494000027,None,53.33525880000161,None,space,1.5335902999977407,53.33525880000161,None,patxi,001,mixed,2020_Feb_18_1252,visual_search,3.2.4,41.69178596784874,
12,8,['usuario'],"margolari,jokalari,erabiltzaile,lekuko,irakurle,irekitze,irakasle,harri",../figures/mixed_12.jpeg,Spanish,0,12,12,12,54.922543900000164,None,space,0.12828870000157622,54.922543900000164,None,55.13929250000001,None,space,5.429907000001549,55.13929250000001,None,patxi,001,mixed,2020_Feb_18_1252,visual_search,3.2.4,41.69178596784874,
13,8,['lekuko'],"abuelo,ceniza,cordero,edición,aprendiz,recurso,receptor,invitado",../figures/mixed_13.jpeg,Basque,0,13,13,13,60.603778700002294,None,space,0.5230086000010488,60.603778700002294,None,61.21255949999977,None,space,1.331538599999476,61.21255949999977,None,patxi,001,mixed,2020_Feb_18_1252,visual_search,3.2.4,41.69178596784874,
14,8,['lista'],"kazetari,txanpon,etsai,haritz,lapurreta,asmaketa,amets,behor",../figures/mixed_14.jpeg,Spanish,0,14,14,14,62.576974400002655,None,space,0.1628098000001046,62.576974400002655,None,62.81726239999989,None,space,2.152744499999244,62.81726239999989,None,patxi,001,mixed,2020_Feb_18_1252,visual_search,3.2.4,41.69178596784874,
15,8,['aitorle'],"criatura,autor,lector,estuche,juzgado,jinete,invierno,posada",../figures/mixed_15.jpeg,Basque,0,15,15,15,65.0115289000023,None,space,0.22276050000073155,65.0115289000023,None,65.31698710000273,None,space,5.383559999998397,65.31698710000273,None,patxi,001,mixed,2020_Feb_18_1252,visual_search,3.2.4,41.69178596784874,
16,8,['tximeleta'],"piedra,asesino,estuche,vencedor,ejercicio,yegua,apertura,confesor",../figures/mixed_16.jpeg,Basque,0,16,16,16,70.7572739999996,None,space,0.09902259999944363,70.7572739999996,None,70.93043340000077,None,space,3.019730100000743,70.93043340000077,None,patxi,001,mixed,2020_Feb_18_1252,visual_search,3.2.4,41.69178596784874,
17,8,['ceniza'],"iruzur,garagardo,eramaile,lursail,aditu,gerriko,edukitze,hodei",../figures/mixed_17.jpeg,Spanish,0,17,17,17,73.99484660000235,None,space,0.12520949999816366,73.99484660000235,None,74.20142000000124,None,space,3.470267900000181,74.20142000000124,None,patxi,001,mixed,2020_Feb_18_1252,visual_search,3.2.4,41.69178596784874,
18,8,['errolda'],"recado,vendedor,delegado,caracol,pesimista,accidente,pandilla,ladrón",../figures/mixed_18.jpeg,Basque,0,18,18,18,77.70987150000292,None,space,0.12317130000155885,77.70987150000292,None,77.93681760000254,None,space,1.5822788000004948,77.93681760000254,None,patxi,001,mixed,2020_Feb_18_1252,visual_search,3.2.4,41.69178596784874,
19,8,['zatiki'],"candidato,roble,hermana,serpiente,gigante,delegado,partícula,ajedrez",../figures/mixed_19.jpeg,Basque,0,19,19,19,79.56224790000124,None,space,0.21385929999814834,79.56224790000124,None,79.85600590000104,None,space,2.925197800002934,79.85600590000104,None,patxi,001,mixed,2020_Feb_18_1252,visual_search,3.2.4,41.69178596784874,
20,8,['eskularru'],"aprendiz,hermana,bruja,ahorro,testigo,anuncio,fantasía,restaurante",../figures/mixed_20.jpeg,Basque,0,20,20,20,82.83190740000282,None,space,0.3478481999991345,82.83190740000282,None,83.26676230000157,None,space,4.996551799998997,83.26676230000157,None,patxi,001,mixed,2020_Feb_18_1252,visual_search,3.2.4,41.69178596784874,
21,8,['juguete'],"emakume,saltzaile,egile,lekuko,asmaketa,hartzaile,istripu,jatetxe",../figures/mixed_21.jpeg,Spanish,0,21,21,21,88.29955890000201,None,space,0.15166970000063884,88.29955890000201,None,88.53009080000265,None,space,1.5938132999981462,88.53009080000265,None,patxi,001,mixed,2020_Feb_18_1252,visual_search,3.2.4,41.69178596784874,
22,8,['ladrón'],"bezero,zerrenda,jokalari,zaldizko,aditu,maskor,asmaketa,harri",../figures/mixed_22.jpeg,Spanish,0,22,22,22,90.1700751999997,None,space,0.23100949999934528,90.1700751999997,None,90.49636290000126,None,space,3.2200726000010036,90.49636290000126,None,patxi,001,mixed,2020_Feb_18_1252,visual_search,3.2.4,41.69178596784874,
23,8,['regla'],"asmaketa,emakume,erromes,saltzaile,aitona,erraldoi,idazkari,harri",../figures/mixed_23.jpeg,Spanish,0,23,23,23,93.75208810000186,None,space,0.30478819999916595,93.75208810000186,None,94.12875390000045,None,space,2.707597500000702,94.12875390000045,None,patxi,001,mixed,2020_Feb_18_1252,visual_search,3.2.4,41.69178596784874,
24,8,['haritz'],"pintor,carretera,cerdo,aprendiz,posada,viento,olfato,poeta",../figures/mixed_24.jpeg,Basque,0,24,24,24,96.88186540000243,None,space,0.2837355000010575,96.88186540000243,None,97.2422022000028,None,space,3.4254072999974596,97.2422022000028,None,patxi,001,mixed,2020_Feb_18_1252,visual_search,3.2.4,41.69178596784874,
