trial,set_size,target_word,distract_words,image_path,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,fixation.stopped,press_to_go.keys,press_to_go.rt,press_to_go.started,press_to_go.stopped,targets.started,targets.stopped,just_press.keys,just_press.rt,just_press.started,just_press.stopped,participant,session,language,date,expName,psychopyVersion,frameRate,
0,16,['jokalari'],"apertura,espuma,sequía,asamblea,posada,padre,cocinero,jinete,ajedrez,cerveza,secretario,abuelo,cliente,estuche,guardián,trabajo",../figures/Basque_0.jpeg,0,0,0,0,11.623004600001877,None,space,1.1919453000009526,11.623004600001877,None,12.91466489999948,None,space,1.7160003000026336,12.91466489999948,None,patxi,001,basque,2020_Feb_18_1305,visual_search,3.2.4,43.08396763667305,
1,16,['margolari'],"ajedrez,vendedor,viento,anuncio,experto,portero,ceniza,ubicación,serpiente,receptor,invitado,piedra,candidato,cerveza,fantasía,posesión",../figures/Basque_1.jpeg,0,1,1,1,14.675311700000748,None,space,0.30914879999909317,14.675311700000748,None,15.044333500001812,None,space,8.512811799999326,15.044333500001812,None,patxi,001,basque,2020_Feb_18_1305,visual_search,3.2.4,43.08396763667305,
2,8,['oilar'],"sombra,árbol,curación,guardián,testigo,peregrino,profesor,partícula",../figures/Basque_2.jpeg,0,2,2,2,23.611777599999186,None,space,0.15153300000019954,23.611777599999186,None,23.853325100000802,None,space,2.4882615999995323,23.853325100000802,None,patxi,001,basque,2020_Feb_18_1305,visual_search,3.2.4,43.08396763667305,
3,4,['zerrenda'],"lista,página,padre,ejercicio",../figures/Basque_3.jpeg,0,3,3,3,26.38307110000096,None,space,0.25634720000016387,26.38307110000096,None,26.742165899999236,None,space,2.051090799999656,26.742165899999236,None,patxi,001,basque,2020_Feb_18_1305,visual_search,3.2.4,43.08396763667305,
4,32,['lantegi'],"enemigo,escritor,invitado,periodista,cocinero,profesor,estuche,recado,fantasía,portero,pintor,sequía,edición,criatura,caucho,cobijo,posesión,página,invierno,parcela,aprendiz,asesino,hermana,serpiente,enfermera,testigo,fumador,fibra,arroyo,receptor,mensajero,candidato",../figures/Basque_4.jpeg,0,4,4,4,28.831995900000038,None,space,0.18121350000001257,28.831995900000038,None,29.120523599998705,None,space,4.310398300000088,29.120523599998705,None,patxi,001,basque,2020_Feb_18_1305,visual_search,3.2.4,43.08396763667305,
5,16,['zorion'],"mujer,abuelo,ahorro,anillo,invitado,zumbido,lista,ceniza,jugador,censo,pesimista,fantasía,recurso,candidato,sombra,enemigo",../figures/Basque_5.jpeg,0,5,5,5,33.48648630000025,None,space,0.1511610000015935,33.48648630000025,None,33.72243800000069,None,space,3.0543764000030933,33.72243800000069,None,patxi,001,basque,2020_Feb_18_1305,visual_search,3.2.4,43.08396763667305,
6,4,['sendatze'],"vencedor,recado,testigo,estuche",../figures/Basque_6.jpeg,0,6,6,6,36.833050500001264,None,space,0.14138480000110576,36.833050500001264,None,37.0535415000013,None,space,2.3322932999981276,37.0535415000013,None,patxi,001,basque,2020_Feb_18_1305,visual_search,3.2.4,43.08396763667305,
7,4,['edukitze'],"bruja,vanidad,receptor,cerdo",../figures/Basque_7.jpeg,0,7,7,7,39.419863899998745,None,space,0.15058809999754885,39.419863899998745,None,39.6585473999985,None,space,3.6591860000007728,39.6585473999985,None,patxi,001,basque,2020_Feb_18_1305,visual_search,3.2.4,43.08396763667305,
8,32,['lilura'],"triunfo,estuche,robo,cordero,posesión,taller,portero,cabrón,secretario,nube,fibra,adivina,parcela,bruja,guante,firma,receptor,anuncio,juzgado,fumador,fascinación,corredor,muchacho,arroyo,cerdo,yegua,roble,censo,espuma,abuelo,inventor,gigante",../figures/Basque_8.jpeg,0,8,8,8,43.35397540000122,None,space,0.21929509999972652,43.35397540000122,None,43.64676959999997,None,space,10.242118699999992,43.64676959999997,None,patxi,001,basque,2020_Feb_18_1305,visual_search,3.2.4,43.08396763667305,
9,8,['epaitegi'],"jugador,concha,gallo,hermana,trabajo,asamblea,poeta,posesión",../figures/Basque_9.jpeg,0,9,9,9,53.934726300001785,None,space,0.39208879999932833,53.934726300001785,None,54.40543020000041,None,space,5.558417399999598,54.40543020000041,None,patxi,001,basque,2020_Feb_18_1305,visual_search,3.2.4,43.08396763667305,
10,4,['eskularru'],"jinete,concha,ahorro,idiota",../figures/Basque_10.jpeg,0,10,10,10,60.0073908000013,None,space,0.21003270000073826,60.0073908000013,None,60.28463959999863,None,space,2.0148971999988134,60.28463959999863,None,patxi,001,basque,2020_Feb_18_1305,visual_search,3.2.4,43.08396763667305,
11,8,['garagardo'],"invierno,jinete,guante,usuario,viento,muchacho,trabajo,cerveza",../figures/Basque_11.jpeg,0,11,11,11,62.353548899998714,None,space,0.19839899999715271,62.353548899998714,None,62.60240490000069,None,space,2.372132500000589,62.60240490000069,None,patxi,001,basque,2020_Feb_18_1305,visual_search,3.2.4,43.08396763667305,
12,8,['kazetari'],"cobijo,curación,concha,cerdo,emisor,profesor,taller,caucho",../figures/Basque_12.jpeg,0,12,12,12,65.02216709999993,None,space,0.33058230000096955,65.02216709999993,None,65.43013900000005,None,space,3.541464600002655,65.43013900000005,None,patxi,001,basque,2020_Feb_18_1305,visual_search,3.2.4,43.08396763667305,
