trial,set_size,target_word,distract_words,image_path,word_type
0,8,['sendatze'],"robo,cobijo,delegado,época,escritor,apertura,bruja,juzgado",../figures/mixed_0.jpeg,Basque
1,8,['abuelo'],"aditu,aitorle,ezkor,erretzaile,koadrila,jatetxe,haritz,irekitze",../figures/mixed_1.jpeg,Spanish
2,8,['sukaldari'],"época,usuario,pintor,inventor,apertura,carretera,restaurante,padre",../figures/mixed_2.jpeg,Basque
3,8,['posada'],"orrialde,asmatzaile,igorle,zuhaitz,izaki,garai,garaipen,gidari",../figures/mixed_3.jpeg,Spanish
4,8,['zaindari'],"pandilla,arroyo,confesor,recado,cobijo,firma,invención,aprendiz",../figures/mixed_4.jpeg,Basque
5,8,['lapur'],"obispo,fascinación,ceniza,nube,padre,abuelo,mariposa,posada",../figures/mixed_5.jpeg,Basque
6,8,['aprendiz'],"errepide,igorle,jokalari,aurrezki,arau,usain,gidari,margolari",../figures/mixed_6.jpeg,Spanish
7,8,['contexto'],"errepide,mandatu,arrain,ezkor,irekitze,iragarpen,itzal,zuhaitz",../figures/mixed_7.jpeg,Spanish
8,8,['arroyo'],"errolda,jauregi,harrokeria,igorle,batzorde,erraldoi,sukaldari,istripu",../figures/mixed_8.jpeg,Spanish
9,8,['parcela'],"gerriko,haritz,baliabide,emakume,lehiakide,ordezkari,hartzaile,mutil",../figures/mixed_9.jpeg,Spanish
10,8,['eraztun'],"caucho,pesimista,bruja,guardián,adivina,asesino,posesión,comisión",../figures/mixed_10.jpeg,Basque
11,8,['usain'],"invitado,juguete,posada,pescado,recurso,taller,secretario,trabajo",../figures/mixed_11.jpeg,Basque
12,8,['irakasle'],"bruja,gigante,confesor,cerveza,censo,lector,roble,guante",../figures/mixed_12.jpeg,Basque
13,8,['portador'],"barraskilo,lehorte,garagardo,istripu,erraldoi,batzar,ikastun,garaile",../figures/mixed_13.jpeg,Spanish
14,8,['behor'],"palacio,recurso,época,conductor,posada,asesino,mujer,caucho",../figures/mixed_14.jpeg,Basque
15,8,['cobijo'],"arkume,lantegi,gidari,erromes,haize,mandatu,irekitze,igarle",../figures/mixed_15.jpeg,Spanish
16,8,['aterpe'],"asesino,corredor,cerdo,pescado,portador,cocinero,caucho,cliente",../figures/mixed_16.jpeg,Basque
17,8,['espuma'],"asmatzaile,batzar,kazetari,igorle,gidari,hodei,bezero,ezkor",../figures/mixed_17.jpeg,Spanish
18,8,['arroyo'],"aitorle,negu,jokalari,idazkari,egile,jauregi,irakasle,zorion",../figures/mixed_18.jpeg,Spanish
19,8,['xake'],"vanidad,ajedrez,regla,página,juguete,abuelo,ubicación,dicha",../figures/mixed_19.jpeg,Basque
